site,person,trial,targ_side_rel,accuracy,rt
Aberdeen,5,50,hard,0,5.405
Aberdeen,5,51,absent,1,5.393
Aberdeen,5,52,easy,0,9.015
Aberdeen,5,53,hard,0,5.432
Aberdeen,5,54,absent,1,7.886
Aberdeen,5,55,absent,0,9.68
Aberdeen,5,56,easy,1,1.262
Aberdeen,5,57,absent,1,5.068
Aberdeen,5,58,hard,0,5.102
Aberdeen,5,59,absent,1,14.355
Aberdeen,5,60,hard,1,5.07
Aberdeen,5,61,hard,1,1.263
Aberdeen,5,62,absent,1,2.206
Aberdeen,5,63,easy,0,2.882
Aberdeen,5,64,hard,1,4.091
Aberdeen,5,65,absent,1,12.427
Aberdeen,5,66,easy,0,5.708
Aberdeen,5,67,absent,1,7.448
Aberdeen,5,68,hard,0,3.365
Aberdeen,5,69,absent,1,2.446
Aberdeen,5,70,absent,1,6.188
Aberdeen,5,71,absent,1,2.027
Aberdeen,5,72,absent,0,3.714
Aberdeen,5,73,easy,1,2.179
Aberdeen,5,74,easy,1,2.579
Aberdeen,5,75,absent,0,4.724
Aberdeen,5,76,easy,1,2.981
Aberdeen,5,77,absent,1,15.94
Aberdeen,5,78,hard,0,6.731
Aberdeen,5,79,easy,1,1.837
Aberdeen,5,80,easy,1,2.544
Aberdeen,5,81,absent,0,3.924
Aberdeen,5,82,easy,1,4.166
Aberdeen,5,83,absent,1,2.925
Aberdeen,5,84,hard,0,4.306
Aberdeen,5,85,hard,0,4.185
Aberdeen,5,86,absent,1,5.027
Aberdeen,5,87,absent,1,9.008
Aberdeen,5,88,absent,1,5.618
Aberdeen,5,89,absent,1,8.158
Aberdeen,5,90,hard,1,1.543
Aberdeen,5,91,absent,1,4.281
Aberdeen,5,92,hard,0,3.236
Aberdeen,5,93,absent,1,5.602
Aberdeen,5,94,hard,0,5.795
Aberdeen,5,95,easy,1,4.111
Aberdeen,5,96,absent,1,8.043
Aberdeen,5,97,easy,1,3.036
Aberdeen,5,98,hard,0,6.048
Aberdeen,5,99,absent,0,7.69
Aberdeen,5,100,absent,1,6.178
Aberdeen,5,101,easy,1,2.418
Aberdeen,5,102,absent,1,6.967
Aberdeen,6,7,easy,1,1.213
Aberdeen,6,8,hard,1,1.145
Aberdeen,6,9,easy,1,1.019
Aberdeen,6,10,hard,0,4.59
Aberdeen,6,11,easy,1,1.426
Aberdeen,6,12,absent,1,16.368
Aberdeen,6,13,absent,1,14.377
Aberdeen,6,14,easy,1,1.75
Aberdeen,6,15,hard,0,11.722
Aberdeen,6,16,absent,1,16.048
Aberdeen,6,17,absent,1,13.12
Aberdeen,6,18,absent,1,11.617
Aberdeen,6,19,absent,0,15.131
Aberdeen,6,20,absent,0,16.437
Aberdeen,6,21,easy,1,1.172
Aberdeen,6,22,absent,1,22.804
Aberdeen,6,23,hard,1,1.805
Aberdeen,6,24,easy,1,1.674
Aberdeen,6,25,absent,0,15.359
Aberdeen,6,26,absent,1,18.522
Aberdeen,6,27,absent,0,3.303
Aberdeen,6,28,absent,0,6.692
Aberdeen,6,29,hard,1,10.726
Aberdeen,6,30,hard,1,9.606
Aberdeen,6,31,absent,1,20.882
Aberdeen,6,32,absent,1,24.693
Aberdeen,6,33,absent,0,13.261
Aberdeen,6,34,absent,1,25.348
Aberdeen,6,36,easy,1,0.996
Aberdeen,6,37,hard,1,7.417
Aberdeen,6,38,absent,1,23.41
Aberdeen,6,39,easy,1,1.124
Aberdeen,6,40,absent,1,16.152
Aberdeen,6,41,absent,1,12.753
Aberdeen,6,42,easy,1,1.405
Aberdeen,6,43,absent,1,16.361
Aberdeen,6,44,hard,0,11.027
Aberdeen,6,45,absent,1,16.731
Aberdeen,6,46,absent,1,14.656
Aberdeen,6,47,hard,1,7.743
Aberdeen,6,48,easy,1,0.876
Aberdeen,6,49,hard,1,1.455
Aberdeen,6,51,absent,1,12.823
Aberdeen,6,52,easy,1,0.905
Aberdeen,6,53,hard,0,13.403
Aberdeen,6,54,absent,1,12.475
Aberdeen,6,55,absent,1,8.698
Aberdeen,6,56,easy,1,1.154
Aberdeen,6,57,absent,0,2.812
Aberdeen,6,58,hard,0,12.748
Aberdeen,6,59,absent,1,18.891
Aberdeen,6,60,hard,1,4.661
Aberdeen,6,61,hard,1,5.627
Aberdeen,6,63,easy,1,1.733
Aberdeen,6,64,hard,1,1.03
Aberdeen,6,65,absent,0,4.035
Aberdeen,6,66,easy,1,1.09
Aberdeen,6,67,absent,1,14.841
Aberdeen,6,68,hard,0,8.373
Aberdeen,6,69,absent,1,18.74
Aberdeen,6,70,absent,1,11.444
Aberdeen,6,71,absent,1,9.227
Aberdeen,6,72,absent,0,8.222
Aberdeen,6,73,easy,1,0.819
Aberdeen,6,74,easy,1,0.709
Aberdeen,6,75,absent,1,3.532
Aberdeen,6,76,easy,1,0.805
Aberdeen,6,77,absent,1,3.239
Aberdeen,6,78,hard,0,6.024
Aberdeen,6,79,easy,1,0.866
Aberdeen,6,80,easy,1,0.6
Aberdeen,6,81,absent,1,9.137
Aberdeen,6,82,easy,1,0.748
Aberdeen,6,83,absent,1,7.535
Aberdeen,6,84,hard,0,5.674
Aberdeen,6,85,hard,0,7.243
Aberdeen,6,86,absent,1,10.588
Aberdeen,6,87,absent,1,9.44
Aberdeen,6,88,absent,1,10.974
Aberdeen,6,89,absent,1,5.529
Aberdeen,6,90,hard,0,12.893
Aberdeen,6,91,absent,1,15.784
Aberdeen,6,92,hard,0,9.169
Aberdeen,6,93,absent,1,10.132
Aberdeen,6,94,hard,1,2.006
Aberdeen,6,95,easy,1,0.858
Aberdeen,6,96,absent,0,9.018
Aberdeen,6,97,easy,1,0.696
Aberdeen,6,98,hard,1,0.781
Aberdeen,6,99,absent,1,5.679
Aberdeen,6,100,absent,1,8.786
Aberdeen,6,101,easy,1,0.731
Aberdeen,6,102,absent,1,7.917
Aberdeen,7,7,easy,1,1.586
Aberdeen,7,8,hard,1,3.377
Aberdeen,7,9,easy,1,0.793
Aberdeen,7,10,hard,0,5.442
Aberdeen,7,11,easy,1,0.712
Aberdeen,7,12,absent,1,5.483
Aberdeen,7,13,absent,1,6.474
Aberdeen,7,14,easy,1,1.396
Aberdeen,7,15,hard,1,4.366
Aberdeen,7,16,absent,1,7.446
Aberdeen,7,17,absent,0,4.551
Aberdeen,7,18,absent,0,2.68
Aberdeen,7,19,absent,0,2.401
Aberdeen,7,20,absent,0,2.705
Aberdeen,7,21,easy,1,0.76
Aberdeen,7,22,absent,0,2.497
Aberdeen,7,23,hard,0,3.457
Aberdeen,7,24,easy,1,1.34
Aberdeen,7,25,absent,0,3.402
Aberdeen,7,26,absent,0,6.763
Aberdeen,7,27,absent,1,3.743
Aberdeen,7,28,absent,0,2.673
Aberdeen,7,29,hard,0,6.484
Aberdeen,7,30,hard,1,1.786
Aberdeen,7,31,absent,1,5.478
Aberdeen,7,32,absent,0,4.792
Aberdeen,7,33,absent,1,8.278
Aberdeen,7,34,absent,0,10.679
Aberdeen,7,35,easy,1,0.88
Aberdeen,7,36,easy,1,0.746
Aberdeen,7,37,hard,1,1.747
Aberdeen,7,38,absent,1,5.422
Aberdeen,7,39,easy,1,0.873
Aberdeen,7,40,absent,1,4.214
Aberdeen,7,41,absent,1,3.184
Aberdeen,7,42,easy,1,0.865
Aberdeen,7,43,absent,0,4.379
Aberdeen,7,44,hard,1,3.543
Aberdeen,7,45,absent,0,4.724
Aberdeen,7,46,absent,1,1.856
Aberdeen,7,47,hard,0,4.136
Aberdeen,7,48,easy,1,0.649
Aberdeen,7,49,hard,1,2.887
Aberdeen,7,50,hard,0,1.846
Aberdeen,7,51,absent,1,1.242
Aberdeen,7,52,easy,1,0.722
Aberdeen,7,53,hard,1,2.18
Aberdeen,7,54,absent,0,1.91
Aberdeen,7,55,absent,0,1.772
Aberdeen,7,56,easy,1,0.758
Aberdeen,7,57,absent,0,2.215
Aberdeen,7,58,hard,1,1.469
Aberdeen,7,59,absent,1,2.04
Aberdeen,7,60,hard,1,1.608
Aberdeen,7,61,hard,1,1.807
Aberdeen,7,62,absent,0,2.179
Aberdeen,7,63,easy,1,0.966
Aberdeen,7,64,hard,1,1.554
Aberdeen,7,65,absent,0,2.268
Aberdeen,7,66,easy,1,0.669
Aberdeen,7,67,absent,0,1.507
Aberdeen,7,68,hard,1,1.975
Aberdeen,7,69,absent,0,1.312
Aberdeen,7,70,absent,0,1.824
Aberdeen,7,71,absent,0,1.364
Aberdeen,7,72,absent,1,1.397
Aberdeen,7,73,easy,1,0.813
Aberdeen,7,74,easy,1,0.565
Aberdeen,7,75,absent,0,2.141
Aberdeen,7,76,easy,1,0.709
Aberdeen,7,77,absent,0,1.372
Aberdeen,7,78,hard,1,1.209
Aberdeen,7,79,easy,1,0.572
Aberdeen,7,80,easy,1,0.7
Aberdeen,7,81,absent,0,3.13
Aberdeen,7,82,easy,1,0.674
Aberdeen,7,83,absent,0,0.825
Aberdeen,7,84,hard,1,2.488
Aberdeen,7,85,hard,1,1.959
Aberdeen,7,86,absent,0,3.967
Aberdeen,7,87,absent,0,21.479
Aberdeen,7,88,absent,0,3.035
Aberdeen,7,89,absent,1,1.832
Aberdeen,7,90,hard,0,1.579
Aberdeen,7,91,absent,0,1.549
Aberdeen,7,92,hard,1,1.71
Aberdeen,7,93,absent,1,3.767
Aberdeen,7,94,hard,1,2.709
Aberdeen,7,95,easy,1,0.874
Aberdeen,7,96,absent,1,5.034
Aberdeen,7,97,easy,1,0.82
Aberdeen,7,98,hard,1,2.964
