person,trial,choice,site
19,2,double_pre_cra,Aberdeen
19,3,double_pre_cra,Aberdeen
19,4,double_pre_cra,Aberdeen
19,5,double_pre_cra,Aberdeen
19,6,double_pre_cra,Aberdeen
20,1,double_pre_cra,Aberdeen
20,2,double_pre_cra,Aberdeen
20,3,sensible,Aberdeen
20,4,sensible,Aberdeen
20,5,sensible,Aberdeen
20,6,sensible,Aberdeen
21,1,sensible,Aberdeen
21,2,sensible,Aberdeen
21,3,sensible,Aberdeen
21,4,sensible,Aberdeen
21,5,sensible,Aberdeen
21,6,sensible,Aberdeen
22,1,sensible,Aberdeen
22,2,sensible,Aberdeen
22,3,sensible,Aberdeen
22,4,sensible,Aberdeen
22,5,sensible,Aberdeen
22,6,sensible,Aberdeen
23,1,sensible,Aberdeen
23,2,sensible,Aberdeen
23,3,sensible,Aberdeen
23,4,sensible,Aberdeen
23,5,sensible,Aberdeen
23,6,sensible,Aberdeen
24,1,sensible,Aberdeen
24,2,sensible,Aberdeen
24,3,pre_crastinate,Aberdeen
24,4,sensible,Aberdeen
24,5,sensible,Aberdeen
24,6,sensible,Aberdeen
25,1,pre_crastinate,Aberdeen
25,2,pre_crastinate,Aberdeen
25,3,pre_crastinate,Aberdeen
25,4,pre_crastinate,Aberdeen
25,5,pre_crastinate,Aberdeen
25,6,pre_crastinate,Aberdeen
26,1,double_pre_cra,Aberdeen
26,2,double_pre_cra,Aberdeen
26,3,double_pre_cra,Aberdeen
26,4,double_pre_cra,Aberdeen
26,5,double_pre_cra,Aberdeen
26,6,double_pre_cra,Aberdeen
27,1,sensible,Aberdeen
27,2,sensible,Aberdeen
27,3,sensible,Aberdeen
27,4,sensible,Aberdeen
27,5,sensible,Aberdeen
27,6,sensible,Aberdeen
28,1,sensible,Aberdeen
28,2,sensible,Aberdeen
28,3,sensible,Aberdeen
28,4,sensible,Aberdeen
28,5,sensible,Aberdeen
28,6,sensible,Aberdeen
29,1,pre_crastinate,Aberdeen
29,2,pre_crastinate,Aberdeen
29,3,sensible,Aberdeen
29,4,pre_crastinate,Aberdeen
29,5,sensible,Aberdeen
29,6,pre_crastinate,Aberdeen
30,1,sensible,Aberdeen
30,2,sensible,Aberdeen
30,3,sensible,Aberdeen
30,4,sensible,Aberdeen
30,5,sensible,Aberdeen
30,6,sensible,Aberdeen
31,1,sensible,Aberdeen
31,2,sensible,Aberdeen
31,3,sensible,Aberdeen
31,4,sensible,Aberdeen
31,5,sensible,Aberdeen
31,6,sensible,Aberdeen
32,1,sensible,Aberdeen
32,2,sensible,Aberdeen
32,3,sensible,Aberdeen
32,4,sensible,Aberdeen
32,5,sensible,Aberdeen
32,6,sensible,Aberdeen
33,1,pre_crastinate,Aberdeen
33,2,pre_crastinate,Aberdeen
33,3,pre_crastinate,Aberdeen
33,4,pre_crastinate,Aberdeen
33,5,pre_crastinate,Aberdeen
33,6,pre_crastinate,Aberdeen
34,1,sensible,Aberdeen
34,2,sensible,Aberdeen
34,3,sensible,Aberdeen
34,4,sensible,Aberdeen
34,5,sensible,Aberdeen
34,6,sensible,Aberdeen
35,1,double_pre_cra,Aberdeen
35,2,double_pre_cra,Aberdeen
35,3,double_pre_cra,Aberdeen
35,4,double_pre_cra,Aberdeen
35,5,double_pre_cra,Aberdeen
35,6,double_pre_cra,Aberdeen
37,1,sensible,Aberdeen
37,2,sensible,Aberdeen
37,3,sensible,Aberdeen
37,4,sensible,Aberdeen
37,5,sensible,Aberdeen
37,6,sensible,Aberdeen
38,1,sensible,Aberdeen
38,2,sensible,Aberdeen
38,3,sensible,Aberdeen
38,4,sensible,Aberdeen
38,5,sensible,Aberdeen
38,6,sensible,Aberdeen
39,1,pre_crastinate,Aberdeen
39,2,pre_crastinate,Aberdeen
39,3,pre_crastinate,Aberdeen
39,4,pre_crastinate,Aberdeen
39,5,pre_crastinate,Aberdeen
39,6,pre_crastinate,Aberdeen
40,1,sensible,Aberdeen
40,2,sensible,Aberdeen
40,3,sensible,Aberdeen
40,4,sensible,Aberdeen
40,5,sensible,Aberdeen
40,6,sensible,Aberdeen
41,1,sensible,Aberdeen
41,2,sensible,Aberdeen
41,3,sensible,Aberdeen
41,4,sensible,Aberdeen
41,5,sensible,Aberdeen
41,6,sensible,Aberdeen
42,1,sensible,Aberdeen
42,2,sensible,Aberdeen
42,3,sensible,Aberdeen
42,4,pre_crastinate,Aberdeen
42,5,pre_crastinate,Aberdeen
42,6,pre_crastinate,Aberdeen
43,1,sensible,Aberdeen
43,2,sensible,Aberdeen
43,3,sensible,Aberdeen
43,4,sensible,Aberdeen
43,5,sensible,Aberdeen
43,6,sensible,Aberdeen
44,1,pre_crastinate,Aberdeen
44,2,pre_crastinate,Aberdeen
44,3,pre_crastinate,Aberdeen
44,4,pre_crastinate,Aberdeen
44,5,pre_crastinate,Aberdeen
44,6,pre_crastinate,Aberdeen
45,1,pre_crastinate,Aberdeen
45,2,pre_crastinate,Aberdeen
45,3,pre_crastinate,Aberdeen
45,4,pre_crastinate,Aberdeen
45,5,pre_crastinate,Aberdeen
45,6,pre_crastinate,Aberdeen
46,1,pre_crastinate,Aberdeen
46,2,pre_crastinate,Aberdeen
46,3,pre_crastinate,Aberdeen
46,4,pre_crastinate,Aberdeen
46,5,pre_crastinate,Aberdeen
46,6,pre_crastinate,Aberdeen
101,1,sensible,Aberdeen
101,2,sensible,Aberdeen
101,3,sensible,Aberdeen
101,4,sensible,Aberdeen
101,5,sensible,Aberdeen
101,6,sensible,Aberdeen
102,1,sensible,Aberdeen
102,2,sensible,Aberdeen
102,3,sensible,Aberdeen
102,4,sensible,Aberdeen
102,5,sensible,Aberdeen
102,6,sensible,Aberdeen
103,1,sensible,Aberdeen
