"subject","targSide","RT"
1,"absent",8.23572916666667
2,"absent",9.86883333333333
3,"absent",8.97441666666667
4,"absent",11.1244583333333
5,"absent",12.0692083333333
11,"absent",29.5445208333333
12,"absent",29.2718541666667
13,"absent",7.112125
14,"absent",49.8552291666667
15,"absent",11.8642916666667
21,"absent",6.713625
22,"absent",2.80702083333333
23,"absent",16.7371041666667
24,"absent",8.42658333333333
25,"absent",7.64966666666667
31,"absent",19.9141666666667
32,"absent",6.34277083333333
33,"absent",6.8125
34,"absent",10.522375
35,"absent",18.2111041666667
41,"absent",9.59714583333333
42,"absent",8.61304166666667
43,"absent",21.1055208333333
44,"absent",2.94008333333333
45,"absent",28.8049375
51,"absent",3.55139583333333
52,"absent",8.2790625
53,"absent",9.2073125
54,"absent",7.7145625
55,"absent",6.0099375
61,"absent",8.6641875
62,"absent",4.06329166666667
64,"absent",27.7891041666667
65,"absent",13.5173125
1,"easy",1.63095833333333
2,"easy",1.50575
3,"easy",0.962833333333333
4,"easy",2.38866666666667
5,"easy",1.868375
11,"easy",1.12233333333333
12,"easy",2.25745833333333
13,"easy",1.341125
14,"easy",2.39470833333333
15,"easy",1.21079166666667
21,"easy",1.6085
22,"easy",1.606125
23,"easy",4.834125
24,"easy",0.949041666666667
25,"easy",1.26020833333333
31,"easy",0.991458333333333
32,"easy",2.03920833333333
33,"easy",1.09454166666667
34,"easy",1.3795
35,"easy",4.046125
41,"easy",0.887916666666667
42,"easy",3.05091666666667
43,"easy",2.11716666666667
44,"easy",0.92325
45,"easy",2.04945833333333
51,"easy",1.72529166666667
52,"easy",2.96191666666667
53,"easy",1.99658333333333
54,"easy",1.19666666666667
55,"easy",1.93733333333333
61,"easy",1.28229166666667
62,"easy",0.8145
64,"easy",2.14483333333333
65,"easy",1.15291666666667
1,"hard",6.520375
2,"hard",8.75083333333333
3,"hard",7.974
4,"hard",10.0204583333333
5,"hard",10.608125
11,"hard",17.554875
12,"hard",20.7724166666667
13,"hard",7.05391666666667
14,"hard",29.88675
15,"hard",8.85595833333333
21,"hard",5.91558333333333
22,"hard",2.58920833333333
23,"hard",14.6095833333333
24,"hard",7.30845833333333
25,"hard",7.10075
31,"hard",13.629
32,"hard",5.63679166666667
33,"hard",6.51408333333333
34,"hard",7.28904166666667
35,"hard",13.3466666666667
41,"hard",10.08575
42,"hard",8.21304166666667
43,"hard",18.2359583333333
44,"hard",2.44854166666667
45,"hard",21.5597916666667
51,"hard",3.67129166666667
52,"hard",7.85379166666667
53,"hard",8.33495833333333
54,"hard",6.49016666666667
55,"hard",5.76608333333333
61,"hard",4.95620833333333
62,"hard",3.73991666666667
64,"hard",22.6867083333333
65,"hard",10.2779583333333
