condition	 subNum	 trialNo	 fixNo	 xFix	 xFixFlip	 yFix	 targSide	 trialType	 easySide	 accuracy	 RT
linesB	 1	 17	 1	 509	 -3	 370	 absent	 properTrial	 right	 1	 2.122
linesB	 1	 18	 1	 505	 -7	 385	 absent	 properTrial	 right	 1	 4.414
linesB	 1	 19	 1	 506	 -6	 393	 right	 properTrial	 right	 0	 1.154
linesB	 1	 20	 1	 517	 5	 378	 left	 properTrial	 right	 0	 4.699
linesB	 1	 21	 1	 506	 -6	 386	 left	 properTrial	 right	 1	 5.774
linesB	 1	 22	 1	 503	 -9	 365	 absent	 properTrial	 right	 1	 8.267
linesB	 1	 23	 1	 518	 -6	 363	 left	 properTrial	 left	 1	 2.657
linesB	 1	 24	 1	 515	 -3	 354	 right	 properTrial	 left	 1	 4.162
linesB	 1	 25	 1	 515	 3	 366	 absent	 properTrial	 right	 0	 2.677
linesB	 1	 26	 1	 508	 4	 381	 right	 properTrial	 left	 1	 3.428
linesB	 1	 27	 1	 519	 7	 389	 absent	 properTrial	 right	 0	 2.485
linesB	 1	 28	 1	 523	 11	 368	 right	 properTrial	 right	 1	 1.117
linesB	 1	 29	 1	 529	 -17	 361	 absent	 properTrial	 left	 0	 2.685
linesB	 1	 30	 1	 505	 -7	 382	 right	 properTrial	 right	 1	 0.988
linesB	 1	 31	 1	 530	 -18	 346	 absent	 properTrial	 left	 0	 3.243
linesB	 1	 32	 1	 518	 -6	 376	 absent	 properTrial	 left	 1	 9.866
linesB	 1	 33	 1	 513	 1	 371	 absent	 properTrial	 right	 0	 7.014
linesB	 1	 34	 1	 515	 -3	 362	 left	 properTrial	 left	 1	 1.511
linesB	 1	 35	 1	 529	 -17	 351	 right	 properTrial	 left	 0	 5.919
linesB	 1	 36	 1	 508	 -4	 385	 left	 properTrial	 right	 0	 6.528
linesB	 1	 37	 1	 508	 4	 376	 absent	 properTrial	 left	 0	 2.261
linesB	 1	 38	 1	 528	 16	 368	 absent	 properTrial	 right	 1	 8.198
linesB	 1	 39	 1	 511	 -1	 376	 absent	 properTrial	 right	 1	 3.375
linesB	 1	 40	 1	 512	 0	 377	 right	 properTrial	 right	 1	 7.309
linesB	 1	 41	 1	 520	 -8	 375	 absent	 properTrial	 left	 1	 6.068
linesB	 1	 42	 1	 510	 -2	 371	 left	 properTrial	 right	 0	 4.851
linesB	 1	 43	 1	 504	 8	 391	 absent	 properTrial	 left	 1	 7.560
linesB	 1	 44	 1	 521	 -9	 356	 absent	 properTrial	 left	 0	 6.723
linesB	 1	 45	 1	 513	 1	 369	 left	 properTrial	 right	 1	 4.502
linesB	 1	 46	 1	 520	 -8	 368	 absent	 properTrial	 left	 1	 13.184
linesB	 1	 47	 1	 527	 -15	 362	 left	 properTrial	 left	 1	 3.927
linesB	 1	 48	 1	 535	 -23	 385	 right	 properTrial	 left	 1	 7.292
linesB	 1	 49	 1	 524	 12	 362	 absent	 properTrial	 right	 0	 8.425
linesB	 1	 50	 1	 505	 7	 387	 right	 properTrial	 left	 1	 1.814
linesB	 1	 51	 1	 511	 -1	 396	 absent	 properTrial	 right	 0	 8.780
linesB	 1	 52	 1	 506	 6	 380	 absent	 properTrial	 left	 0	 7.768
linesB	 1	 53	 1	 509	 -3	 373	 absent	 properTrial	 right	 0	 2.588
linesB	 1	 54	 1	 502	 -10	 365	 right	 properTrial	 right	 1	 1.407
linesB	 1	 55	 1	 542	 30	 365	 right	 properTrial	 right	 1	 1.197
linesB	 1	 56	 1	 532	 -20	 362	 right	 properTrial	 left	 1	 9.166
linesB	 1	 57	 1	 532	 -20	 364	 left	 properTrial	 left	 1	 1.397
linesB	 1	 58	 1	 527	 15	 409	 absent	 properTrial	 right	 1	 12.911
linesB	 1	 59	 1	 510	 2	 372	 absent	 properTrial	 left	 0	 8.331
linesB	 1	 60	 1	 499	 13	 379	 absent	 properTrial	 left	 1	 9.404
linesB	 1	 61	 1	 520	 8	 358	 right	 properTrial	 right	 0	 1.011
linesB	 1	 62	 1	 518	 -6	 367	 left	 properTrial	 left	 1	 1.063
linesB	 1	 63	 1	 519	 -7	 359	 right	 properTrial	 left	 1	 2.809
linesB	 1	 64	 1	 525	 13	 361	 absent	 properTrial	 right	 1	 9.350
linesB	 1	 65	 1	 503	 -9	 375	 left	 properTrial	 right	 0	 6.742
linesB	 1	 66	 1	 498	 14	 391	 absent	 properTrial	 left	 1	 8.474
linesB	 1	 67	 1	 524	 -12	 353	 left	 properTrial	 left	 1	 1.108
linesB	 1	 68	 1	 515	 3	 343	 absent	 properTrial	 right	 1	 8.808
linesB	 1	 69	 1	 504	 8	 367	 absent	 properTrial	 left	 1	 9.662
linesB	 1	 70	 1	 501	 -11	 365	 absent	 properTrial	 right	 0	 4.838
linesB	 1	 71	 1	 507	 -5	 375	 absent	 properTrial	 right	 1	 12.420
linesB	 1	 72	 1	 503	 -9	 378	 left	 properTrial	 right	 1	 5.914
linesB	 1	 73	 1	 506	 6	 371	 absent	 properTrial	 left	 1	 12.456
linesB	 1	 74	 1	 511	 -1	 369	 absent	 properTrial	 right	 1	 8.998
linesB	 1	 75	 1	 504	 8	 370	 left	 properTrial	 left	 1	 1.658
linesB	 1	 76	 1	 519	 7	 370	 right	 properTrial	 right	 1	 0.858
linesB	 1	 77	 1	 515	 -3	 368	 right	 properTrial	 left	 1	 10.804
linesB	 1	 78	 1	 512	 0	 370	 right	 properTrial	 left	 1	 12.761
linesB	 1	 79	 1	 517	 -5	 370	 absent	 properTrial	 left	 0	 8.001
linesB	 1	 80	 1	 499	 13	 382	 left	 properTrial	 left	 1	 1.023
linesB	 1	 81	 1	 520	 8	 377	 left	 properTrial	 right	 0	 9.886
linesB	 1	 82	 1	 505	 -7	 371	 left	 properTrial	 right	 0	 10.456
linesB	 1	 83	 1	 501	 11	 370	 absent	 properTrial	 left	 1	 16.509
linesB	 1	 84	 1	 508	 -4	 364	 right	 properTrial	 right	 1	 1.246
