"subject","targSide","RT"
1,"absent",8.378
2,"absent",9.869
3,"absent",8.914
4,"absent",9.497
5,"absent",11.419
11,"absent",24.0525
12,"absent",28.171
13,"absent",7.2865
14,"absent",45.102
15,"absent",11.706
21,"absent",6.1865
22,"absent",2.6735
23,"absent",17.591
24,"absent",8.671
25,"absent",6.967
31,"absent",20.79
32,"absent",6.26
33,"absent",6.992
34,"absent",9.945
35,"absent",17.197
41,"absent",9.818
42,"absent",7.8895
43,"absent",21.293
44,"absent",2.8065
45,"absent",30.7495
51,"absent",3.1575
52,"absent",7.8175
53,"absent",8.602
54,"absent",7.6505
55,"absent",5.534
61,"absent",8.0845
62,"absent",4.1505
64,"absent",27.0955
65,"absent",13.1215
1,"easy",1.122
2,"easy",0.9145
3,"easy",0.944
4,"easy",0.941
5,"easy",1.0915
11,"easy",1.0255
12,"easy",0.972
13,"easy",0.7935
14,"easy",1.716
15,"easy",0.9725
21,"easy",1.245
22,"easy",1.268
23,"easy",1.745
24,"easy",0.891
25,"easy",0.986
31,"easy",0.917
32,"easy",1.281
33,"easy",0.9015
34,"easy",1.0075
35,"easy",1.2805
41,"easy",0.7815
42,"easy",1.4845
43,"easy",1.278
44,"easy",0.8045
45,"easy",1.221
51,"easy",1.5255
52,"easy",1.8185
53,"easy",1.225
54,"easy",1.047
55,"easy",1.122
61,"easy",0.982
62,"easy",0.7925
64,"easy",1.627
65,"easy",1.0945
1,"hard",5.844
2,"hard",8.523
3,"hard",8.142
4,"hard",8.7175
5,"hard",10.698
11,"hard",8.9135
12,"hard",18.6
13,"hard",7.37
14,"hard",26.093
15,"hard",8.4365
21,"hard",6.2035
22,"hard",2.2565
23,"hard",14.741
24,"hard",7.8595
25,"hard",7.0015
31,"hard",11.4895
32,"hard",5.55
33,"hard",5.531
34,"hard",6.214
35,"hard",13.947
41,"hard",9.2025
42,"hard",7.0675
43,"hard",19.3525
44,"hard",2.2675
45,"hard",24.263
51,"hard",3.375
52,"hard",6.713
53,"hard",8.397
54,"hard",5.7095
55,"hard",5.9905
61,"hard",3.591
62,"hard",3.954
64,"hard",22.9095
65,"hard",10.4405
