condition	 subNum	 trialNo	 fixNo	 xFix	 xFixFlip	 yFix	 targSide	 trialType	 easySide	 accuracy	 RT
linesB	 73	 80	 1	 469	 43	 415	 left	 properTrial	 left	 1	 1.056
linesB	 73	 81	 1	 483	 -29	 393	 left	 properTrial	 right	 0	 15.492
linesB	 73	 82	 1	 466	 -46	 401	 left	 properTrial	 right	 1	 22.243
linesB	 73	 83	 1	 479	 33	 392	 absent	 properTrial	 left	 1	 20.773
linesB	 73	 84	 1	 483	 -29	 387	 right	 properTrial	 right	 1	 1.001
linesB	 73	 85	 1	 477	 35	 407	 left	 properTrial	 left	 1	 1.705
linesB	 73	 86	 1	 473	 39	 395	 absent	 properTrial	 left	 1	 22.197
linesB	 73	 87	 1	 477	 35	 399	 absent	 properTrial	 left	 1	 13.941
linesB	 73	 88	 1	 473	 39	 394	 absent	 properTrial	 left	 1	 9.159
linesB	 73	 89	 1	 487	 25	 378	 absent	 properTrial	 left	 1	 10.718
linesB	 73	 90	 1	 496	 16	 382	 right	 properTrial	 left	 1	 3.214
linesB	 73	 91	 1	 489	 -23	 381	 right	 properTrial	 right	 1	 1.064
linesB	 73	 92	 1	 479	 -33	 382	 left	 properTrial	 right	 0	 7.010
linesB	 73	 93	 1	 480	 -32	 396	 left	 properTrial	 right	 1	 4.588
linesB	 73	 94	 1	 490	 22	 396	 absent	 properTrial	 left	 1	 6.232
linesB	 73	 95	 1	 479	 33	 406	 absent	 properTrial	 left	 1	 10.226
linesB	 73	 96	 1	 486	 -26	 387	 absent	 properTrial	 right	 1	 8.436
linesB	 73	 97	 1	 481	 -31	 415	 right	 properTrial	 right	 1	 1.161
linesB	 73	 98	 1	 485	 27	 391	 right	 properTrial	 left	 0	 7.179
linesB	 73	 99	 1	 470	 42	 409	 left	 properTrial	 left	 1	 0.811
linesB	 73	 100	 1	 465	 47	 395	 left	 properTrial	 left	 1	 0.938
linesB	 73	 101	 1	 482	 -30	 393	 left	 properTrial	 right	 0	 10.631
linesB	 73	 102	 1	 485	 27	 397	 absent	 properTrial	 left	 0	 15.626
linesB	 73	 103	 1	 482	 30	 413	 right	 properTrial	 left	 1	 9.812
linesB	 73	 104	 1	 483	 -29	 404	 absent	 properTrial	 right	 0	 10.208
linesB	 73	 105	 1	 478	 34	 414	 left	 properTrial	 left	 1	 0.978
linesB	 73	 106	 1	 483	 29	 400	 absent	 properTrial	 left	 1	 12.073
linesB	 73	 107	 1	 484	 -28	 408	 absent	 properTrial	 right	 0	 2.936
linesB	 73	 108	 1	 482	 -30	 400	 absent	 properTrial	 right	 1	 13.271
linesB	 73	 109	 1	 486	 -26	 387	 right	 properTrial	 right	 1	 1.034
linesB	 73	 110	 1	 482	 -30	 408	 absent	 properTrial	 right	 1	 15.037
linesB	 73	 111	 1	 494	 -18	 397	 absent	 properTrial	 right	 1	 10.378
linesB	 73	 112	 1	 473	 39	 421	 absent	 properTrial	 left	 1	 6.960
linesB	 75	 17	 1	 513	 1	 384	 absent	 properTrial	 right	 1	 17.005
linesB	 75	 18	 1	 513	 1	 374	 absent	 properTrial	 right	 1	 19.479
linesB	 75	 19	 1	 515	 3	 375	 right	 properTrial	 right	 1	 1.413
linesB	 75	 20	 1	 525	 13	 371	 left	 properTrial	 right	 0	 24.159
linesB	 75	 21	 1	 518	 6	 388	 left	 properTrial	 right	 1	 27.774
linesB	 75	 22	 1	 510	 -2	 381	 absent	 properTrial	 right	 1	 29.226
linesB	 75	 23	 1	 520	 -8	 370	 left	 properTrial	 left	 1	 2.875
linesB	 75	 24	 1	 514	 -2	 382	 right	 properTrial	 left	 1	 23.489
linesB	 75	 25	 1	 507	 -5	 377	 absent	 properTrial	 right	 1	 23.013
linesB	 75	 26	 1	 510	 2	 370	 right	 properTrial	 left	 0	 18.224
linesB	 75	 27	 1	 520	 8	 391	 absent	 properTrial	 right	 1	 26.973
linesB	 75	 28	 1	 517	 5	 388	 right	 properTrial	 right	 1	 1.015
linesB	 75	 29	 1	 512	 0	 386	 absent	 properTrial	 left	 1	 20.361
linesB	 75	 30	 1	 516	 4	 368	 right	 properTrial	 right	 1	 1.530
linesB	 75	 31	 1	 510	 2	 387	 absent	 properTrial	 left	 1	 22.685
linesB	 75	 32	 1	 522	 -10	 363	 absent	 properTrial	 left	 0	 18.530
linesB	 75	 33	 1	 514	 2	 388	 absent	 properTrial	 right	 1	 23.891
linesB	 75	 34	 1	 519	 -7	 371	 left	 properTrial	 left	 1	 1.391
linesB	 75	 35	 1	 523	 -11	 372	 right	 properTrial	 left	 0	 23.456
linesB	 75	 36	 1	 520	 8	 383	 left	 properTrial	 right	 1	 19.393
linesB	 75	 37	 1	 522	 -10	 358	 absent	 properTrial	 left	 1	 24.638
linesB	 75	 38	 1	 525	 13	 368	 absent	 properTrial	 right	 1	 25.983
linesB	 75	 39	 1	 523	 11	 381	 absent	 properTrial	 right	 1	 24.925
linesB	 75	 40	 1	 520	 8	 374	 right	 properTrial	 right	 1	 0.855
linesB	 75	 41	 1	 509	 3	 382	 absent	 properTrial	 left	 1	 23.205
linesB	 75	 42	 1	 511	 -1	 382	 left	 properTrial	 right	 1	 25.004
linesB	 75	 43	 1	 517	 -5	 385	 absent	 properTrial	 left	 1	 24.880
linesB	 75	 44	 1	 515	 -3	 366	 absent	 properTrial	 left	 1	 15.619
linesB	 75	 45	 1	 673	 161	 345	 left	 properTrial	 right	 1	 13.871
linesB	 75	 46	 1	 517	 -5	 379	 absent	 properTrial	 left	 1	 12.448
linesB	 75	 47	 1	 508	 4	 380	 left	 properTrial	 left	 1	 1.099
linesB	 75	 48	 1	 549	 -37	 333	 right	 properTrial	 left	 0	 9.815
linesB	 75	 49	 1	 515	 3	 394	 absent	 properTrial	 right	 1	 14.390
linesB	 75	 50	 1	 509	 3	 392	 right	 properTrial	 left	 0	 11.755
linesB	 75	 51	 1	 515	 3	 396	 absent	 properTrial	 right	 1	 16.619
linesB	 75	 52	 1	 514	 -2	 390	 absent	 properTrial	 left	 1	 15.426
linesB	 75	 53	 1	 512	 0	 389	 absent	 properTrial	 right	 0	 10.746
linesB	 75	 54	 1	 517	 5	 388	 right	 properTrial	 right	 1	 0.810
linesB	 75	 55	 1	 516	 4	 380	 right	 properTrial	 right	 1	 0.946
linesB	 75	 56	 1	 497	 15	 368	 right	 properTrial	 left	 1	 4.059
linesB	 75	 57	 1	 510	 2	 342	 left	 properTrial	 left	 1	 0.831
linesB	 75	 58	 1	 506	 -6	 402	 absent	 properTrial	 right	 1	 10.319
linesB	 75	 59	 1	 514	 -2	 389	 absent	 properTrial	 left	 1	 10.102
linesB	 75	 60	 1	 509	 3	 381	 absent	 properTrial	 left	 1	 11.593
linesB	 75	 61	 1	 525	 13	 354	 right	 properTrial	 right	 1	 0.645
linesB	 75	 62	 1	 508	 4	 341	 left	 properTrial	 left	 1	 0.737
linesB	 75	 63	 1	 514	 -2	 395	 right	 properTrial	 left	 0	 8.996
linesB	 75	 64	 1	 507	 -5	 374	 absent	 properTrial	 right	 1	 8.510
linesB	 75	 65	 1	 510	 -2	 379	 left	 properTrial	 right	 0	 9.105
linesB	 75	 66	 1	 513	 -1	 386	 absent	 properTrial	 left	 1	 11.024
linesB	 75	 67	 1	 512	 0	 373	 left	 properTrial	 left	 1	 0.769
linesB	 75	 68	 1	 513	 1	 366	 absent	 properTrial	 right	 0	 8.802
linesB	 75	 69	 1	 525	 -13	 393	 absent	 properTrial	 left	 0	 12.228
linesB	 75	 70	 1	 510	 -2	 374	 absent	 properTrial	 right	 1	 15.731
linesB	 75	 71	 1	 516	 4	 386	 absent	 properTrial	 right	 0	 7.759
linesB	 75	 72	 1	 513	 1	 386	 left	 properTrial	 right	 0	 17.262
linesB	 75	 73	 1	 505	 7	 385	 absent	 properTrial	 left	 1	 19.235
linesB	 75	 74	 1	 514	 2	 381	 absent	 properTrial	 right	 1	 12.596
linesB	 75	 75	 1	 516	 -4	 367	 left	 properTrial	 left	 1	 0.740
linesB	 75	 76	 1	 505	 -7	 264	 right	 properTrial	 right	 1	 1.285
linesB	 75	 77	 1	 477	 35	 290	 right	 properTrial	 left	 1	 12.978
linesB	 75	 78	 1	 522	 -10	 339	 right	 properTrial	 left	 1	 3.747
linesB	 75	 79	 1	 504	 8	 364	 absent	 properTrial	 left	 1	 7.081
linesB	 75	 80	 1	 514	 -2	 385	 left	 properTrial	 left	 1	 0.770
linesB	 75	 81	 1	 521	 9	 373	 left	 properTrial	 right	 0	 8.011
linesB	 75	 82	 1	 513	 1	 385	 left	 properTrial	 right	 1	 6.180
linesB	 75	 83	 1	 518	 -6	 382	 absent	 properTrial	 left	 1	 9.080
linesB	 75	 84	 1	 525	 13	 375	 right	 properTrial	 right	 1	 0.561
linesB	 75	 85	 1	 508	 4	 376	 left	 properTrial	 left	 1	 0.568
linesB	 75	 86	 1	 512	 0	 392	 absent	 properTrial	 left	 0	 4.466
linesB	 75	 87	 1	 518	 -6	 391	 absent	 properTrial	 left	 1	 7.325
linesB	 75	 88	 1	 515	 -3	 384	 absent	 properTrial	 left	 1	 5.322
linesB	 75	 89	 1	 501	 11	 383	 absent	 properTrial	 left	 1	 6.242
linesB	 75	 90	 1	 520	 -8	 380	 right	 properTrial	 left	 0	 4.704
linesB	 75	 91	 1	 0	 0	 0	 right	 properTrial	 right	 1	 0.809
linesB	 75	 92	 1	 516	 4	 365	 left	 properTrial	 right	 1	 2.481
linesB	 75	 93	 1	 492	 -20	 309	 left	 properTrial	 right	 0	 7.094
linesB	 75	 94	 1	 512	 0	 388	 absent	 properTrial	 left	 1	 7.685
linesB	 75	 95	 1	 511	 1	 397	 absent	 properTrial	 left	 1	 7.773
linesB	 75	 96	 1	 504	 -8	 333	 absent	 properTrial	 right	 1	 6.599
linesB	 75	 97	 1	 515	 3	 380	 right	 properTrial	 right	 1	 0.676
linesB	 75	 98	 1	 514	 -2	 389	 right	 properTrial	 left	 1	 6.233
linesB	 75	 99	 1	 512	 0	 388	 left	 properTrial	 left	 1	 0.770
linesB	 75	 100	 1	 509	 3	 324	 left	 properTrial	 left	 1	 0.693
linesB	 75	 101	 1	 515	 3	 384	 left	 properTrial	 right	 1	 5.031
linesB	 75	 102	 1	 511	 1	 392	 absent	 properTrial	 left	 1	 6.818
linesB	 75	 103	 1	 517	 -5	 383	 right	 properTrial	 left	 1	 3.232
linesB	 75	 104	 1	 506	 -6	 372	 absent	 properTrial	 right	 1	 10.239
linesB	 75	 105	 1	 509	 3	 388	 left	 properTrial	 left	 1	 0.722
linesB	 75	 106	 1	 507	 5	 380	 absent	 properTrial	 left	 0	 7.065
linesB	 75	 107	 1	 515	 3	 397	 absent	 properTrial	 right	 0	 10.663
linesB	 75	 108	 1	 517	 5	 389	 absent	 properTrial	 right	 1	 8.868
linesB	 75	 109	 1	 514	 2	 387	 right	 properTrial	 right	 1	 0.638
linesB	 75	 110	 1	 495	 -17	 372	 absent	 properTrial	 right	 1	 7.996
linesB	 75	 111	 1	 520	 8	 386	 absent	 properTrial	 right	 1	 6.901
linesB	 75	 112	 1	 462	 50	 319	 absent	 properTrial	 left	 1	 9.747
linesB	 78	 17	 1	 528	 -16	 349	 left	 properTrial	 left	 1	 1.657
linesB	 78	 18	 1	 532	 20	 374	 absent	 properTrial	 right	 1	 8.288
linesB	 78	 19	 1	 538	 -26	 365	 right	 properTrial	 left	 0	 7.700
linesB	 78	 20	 1	 532	 20	 386	 right	 properTrial	 right	 1	 6.833
linesB	 78	 21	 1	 525	 13	 369	 right	 properTrial	 right	 1	 1.268
linesB	 78	 22	 1	 528	 16	 369	 absent	 properTrial	 right	 1	 11.020
linesB	 78	 23	 1	 528	 -16	 351	 absent	 properTrial	 left	 1	 7.888
linesB	 78	 24	 1	 530	 18	 350	 absent	 properTrial	 right	 1	 9.314
linesB	 78	 25	 1	 539	 27	 349	 absent	 properTrial	 right	 1	 10.671
linesB	 78	 26	 1	 526	 -14	 342	 right	 properTrial	 left	 0	 7.058
linesB	 78	 27	 1	 529	 -17	 377	 right	 properTrial	 left	 1	 8.202
linesB	 78	 28	 1	 0	 0	 0	 absent	 properTrial	 left	 0	 9.962
linesB	 78	 29	 1	 519	 -7	 369	 left	 properTrial	 left	 1	 1.019
linesB	 78	 30	 1	 521	 -9	 369	 absent	 properTrial	 left	 1	 9.193
linesB	 78	 31	 1	 542	 30	 352	 absent	 properTrial	 right	 1	 7.792
linesB	 78	 32	 1	 551	 39	 356	 right	 properTrial	 right	 0	 8.086
linesB	 78	 33	 1	 531	 -19	 394	 absent	 properTrial	 left	 1	 8.993
linesB	 78	 34	 1	 523	 11	 352	 left	 properTrial	 right	 1	 8.766
linesB	 78	 35	 1	 526	 -14	 379	 absent	 properTrial	 left	 1	 8.377
linesB	 78	 36	 1	 530	 18	 339	 right	 properTrial	 right	 1	 1.086
linesB	 78	 37	 1	 541	 29	 349	 absent	 properTrial	 right	 1	 10.775
linesB	 78	 38	 1	 537	 -25	 347	 right	 properTrial	 left	 0	 9.272
linesB	 78	 39	 1	 524	 12	 406	 absent	 properTrial	 right	 1	 7.874
linesB	 78	 40	 1	 534	 22	 374	 left	 properTrial	 right	 1	 7.709
linesB	 78	 41	 1	 520	 8	 390	 left	 properTrial	 right	 1	 6.416
linesB	 78	 42	 1	 527	 15	 387	 left	 properTrial	 right	 0	 11.093
linesB	 78	 43	 1	 513	 1	 403	 absent	 properTrial	 right	 1	 10.488
linesB	 78	 44	 1	 519	 -7	 378	 right	 properTrial	 left	 1	 4.004
linesB	 78	 45	 1	 542	 -30	 363	 left	 properTrial	 left	 1	 1.029
linesB	 78	 46	 1	 537	 -25	 379	 right	 properTrial	 left	 1	 11.214
linesB	 78	 47	 1	 530	 18	 390	 left	 properTrial	 right	 0	 8.243
linesB	 78	 48	 1	 525	 -13	 395	 left	 properTrial	 left	 1	 0.951
linesB	 78	 49	 1	 518	 -6	 383	 right	 properTrial	 left	 0	 10.404
linesB	 78	 50	 1	 507	 5	 415	 absent	 properTrial	 left	 0	 5.501
linesB	 78	 51	 1	 504	 8	 414	 absent	 properTrial	 left	 1	 18.840
