condition	 subNum	 trialNo	 fixNo	 xFix	 xFixFlip	 yFix	 targSide	 trialType	 easySide	 accuracy	 RT
linesB	 71	 17	 1	 528	 -16	 368	 left	 properTrial	 left	 1	 2.125
linesB	 71	 18	 1	 532	 -20	 364	 right	 properTrial	 left	 0	 5.272
linesB	 71	 19	 1	 513	 1	 401	 right	 properTrial	 right	 1	 1.368
linesB	 71	 20	 1	 525	 13	 381	 left	 properTrial	 right	 0	 7.229
linesB	 71	 21	 1	 513	 -1	 400	 left	 properTrial	 left	 1	 0.916
linesB	 71	 22	 1	 518	 6	 380	 absent	 properTrial	 right	 0	 4.508
linesB	 71	 23	 1	 519	 7	 386	 absent	 properTrial	 right	 1	 6.432
linesB	 71	 24	 1	 532	 20	 367	 right	 properTrial	 right	 1	 1.280
linesB	 71	 25	 1	 528	 -16	 374	 right	 properTrial	 left	 0	 5.644
linesB	 71	 26	 1	 527	 -15	 397	 absent	 properTrial	 left	 0	 5.922
linesB	 71	 27	 1	 522	 -10	 395	 absent	 properTrial	 left	 1	 9.595
linesB	 71	 28	 1	 529	 -17	 389	 absent	 properTrial	 left	 1	 6.556
linesB	 71	 29	 1	 526	 -14	 380	 absent	 properTrial	 left	 1	 7.637
linesB	 71	 30	 1	 526	 14	 380	 absent	 properTrial	 right	 1	 8.473
linesB	 71	 31	 1	 522	 10	 394	 right	 properTrial	 right	 1	 9.187
linesB	 71	 32	 1	 524	 -12	 394	 absent	 properTrial	 left	 1	 6.535
linesB	 71	 33	 1	 525	 13	 385	 left	 properTrial	 right	 1	 5.273
linesB	 71	 34	 1	 523	 11	 394	 right	 properTrial	 right	 1	 1.138
linesB	 71	 35	 1	 516	 -4	 389	 absent	 properTrial	 left	 1	 9.302
linesB	 71	 36	 1	 532	 -20	 386	 absent	 properTrial	 left	 1	 10.139
linesB	 71	 37	 1	 530	 -18	 388	 absent	 properTrial	 left	 1	 7.006
linesB	 71	 38	 1	 533	 21	 377	 absent	 properTrial	 right	 0	 5.543
linesB	 71	 39	 1	 524	 12	 394	 left	 properTrial	 right	 1	 8.175
linesB	 71	 40	 1	 527	 15	 390	 left	 properTrial	 right	 1	 1.621
linesB	 71	 41	 1	 530	 -18	 377	 absent	 properTrial	 left	 1	 9.887
linesB	 71	 42	 1	 519	 -7	 375	 absent	 properTrial	 left	 0	 8.179
linesB	 71	 43	 1	 520	 8	 397	 absent	 properTrial	 right	 0	 3.609
linesB	 71	 44	 1	 521	 9	 388	 absent	 properTrial	 right	 1	 12.209
linesB	 71	 45	 1	 527	 -15	 388	 left	 properTrial	 left	 1	 3.764
linesB	 71	 46	 1	 524	 12	 380	 right	 properTrial	 right	 1	 1.789
linesB	 71	 47	 1	 528	 -16	 375	 right	 properTrial	 left	 0	 10.363
linesB	 71	 48	 1	 512	 0	 386	 absent	 properTrial	 right	 1	 12.921
linesB	 71	 49	 1	 533	 21	 384	 right	 properTrial	 right	 1	 0.824
linesB	 71	 50	 1	 542	 -30	 384	 absent	 properTrial	 left	 1	 11.731
linesB	 71	 51	 1	 542	 30	 377	 absent	 properTrial	 right	 0	 9.363
linesB	 71	 52	 1	 533	 21	 383	 right	 properTrial	 right	 1	 1.032
linesB	 71	 53	 1	 533	 21	 381	 absent	 properTrial	 right	 1	 11.631
linesB	 71	 54	 1	 532	 20	 389	 left	 properTrial	 right	 1	 6.450
linesB	 71	 55	 1	 539	 -27	 391	 absent	 properTrial	 left	 1	 11.823
linesB	 71	 56	 1	 516	 4	 386	 absent	 properTrial	 right	 1	 13.718
linesB	 71	 57	 1	 531	 19	 386	 left	 properTrial	 right	 0	 11.662
linesB	 71	 58	 1	 528	 16	 376	 right	 properTrial	 right	 1	 0.942
linesB	 71	 59	 1	 533	 21	 375	 left	 properTrial	 right	 0	 17.044
linesB	 71	 60	 1	 528	 16	 402	 left	 properTrial	 right	 0	 15.711
linesB	 71	 61	 1	 522	 -10	 411	 absent	 properTrial	 left	 0	 14.186
linesB	 71	 62	 1	 522	 10	 403	 right	 properTrial	 right	 1	 0.899
linesB	 71	 63	 1	 526	 -14	 402	 right	 properTrial	 left	 1	 8.365
linesB	 71	 64	 1	 516	 -4	 396	 absent	 properTrial	 left	 1	 11.467
linesB	 71	 65	 1	 529	 -17	 374	 absent	 properTrial	 left	 0	 8.940
linesB	 71	 66	 1	 525	 -13	 386	 left	 properTrial	 left	 1	 0.772
linesB	 71	 67	 1	 537	 25	 377	 absent	 properTrial	 right	 1	 13.273
linesB	 71	 68	 1	 533	 21	 374	 left	 properTrial	 right	 1	 10.120
linesB	 71	 69	 1	 532	 20	 380	 absent	 properTrial	 right	 1	 15.743
linesB	 71	 70	 1	 542	 -30	 377	 right	 properTrial	 left	 0	 10.370
linesB	 71	 71	 1	 527	 15	 390	 left	 properTrial	 right	 0	 14.811
linesB	 71	 72	 1	 537	 -25	 394	 absent	 properTrial	 left	 1	 17.940
linesB	 71	 73	 1	 534	 22	 384	 right	 properTrial	 right	 1	 1.049
linesB	 71	 74	 1	 537	 -25	 394	 right	 properTrial	 left	 1	 9.192
linesB	 71	 75	 1	 531	 19	 387	 absent	 properTrial	 right	 1	 18.823
linesB	 71	 76	 1	 541	 29	 376	 right	 properTrial	 right	 1	 0.874
linesB	 71	 77	 1	 537	 25	 384	 absent	 properTrial	 right	 1	 12.378
linesB	 71	 78	 1	 546	 34	 342	 left	 properTrial	 right	 0	 16.874
linesB	 71	 79	 1	 518	 6	 392	 absent	 properTrial	 right	 1	 15.248
linesB	 71	 80	 1	 544	 32	 380	 absent	 properTrial	 right	 1	 17.029
linesB	 71	 81	 1	 507	 5	 357	 absent	 properTrial	 left	 1	 14.694
linesB	 71	 82	 1	 522	 -10	 377	 absent	 properTrial	 left	 1	 15.348
linesB	 71	 83	 1	 527	 15	 387	 right	 properTrial	 right	 1	 1.314
linesB	 71	 84	 1	 532	 -20	 380	 left	 properTrial	 left	 1	 1.095
linesB	 71	 85	 1	 543	 -31	 366	 absent	 properTrial	 left	 1	 16.606
linesB	 71	 86	 1	 533	 21	 380	 right	 properTrial	 right	 1	 0.789
linesB	 71	 87	 1	 539	 -27	 385	 absent	 properTrial	 left	 1	 12.659
linesB	 71	 88	 1	 522	 10	 374	 left	 properTrial	 right	 1	 7.127
linesB	 71	 89	 1	 539	 -27	 370	 left	 properTrial	 left	 1	 0.715
linesB	 71	 90	 1	 537	 -25	 354	 left	 properTrial	 left	 1	 0.915
linesB	 71	 91	 1	 525	 -13	 375	 absent	 properTrial	 left	 1	 12.796
linesB	 71	 92	 1	 534	 -22	 379	 left	 properTrial	 left	 1	 1.353
linesB	 71	 93	 1	 534	 -22	 385	 absent	 properTrial	 left	 1	 13.925
linesB	 71	 94	 1	 532	 20	 373	 left	 properTrial	 right	 0	 8.945
linesB	 71	 95	 1	 526	 -14	 409	 right	 properTrial	 left	 0	 12.890
linesB	 71	 96	 1	 527	 15	 395	 absent	 properTrial	 right	 0	 7.936
linesB	 71	 97	 1	 526	 -14	 386	 absent	 properTrial	 left	 1	 13.608
linesB	 71	 98	 1	 529	 17	 370	 absent	 properTrial	 right	 1	 14.247
linesB	 71	 99	 1	 533	 21	 376	 absent	 properTrial	 right	 1	 7.956
linesB	 71	 100	 1	 532	 20	 360	 left	 properTrial	 right	 0	 10.350
linesB	 71	 101	 1	 532	 20	 398	 absent	 properTrial	 right	 1	 17.229
linesB	 71	 102	 1	 496	 16	 387	 right	 properTrial	 left	 0	 13.452
linesB	 71	 103	 1	 520	 -8	 407	 absent	 properTrial	 left	 0	 13.662
linesB	 71	 104	 1	 531	 19	 381	 left	 properTrial	 right	 1	 8.714
linesB	 71	 105	 1	 530	 18	 385	 right	 properTrial	 right	 1	 0.879
linesB	 71	 106	 1	 528	 -16	 363	 absent	 properTrial	 left	 1	 13.162
linesB	 71	 107	 1	 528	 -16	 387	 left	 properTrial	 left	 1	 0.964
linesB	 71	 108	 1	 535	 -23	 398	 right	 properTrial	 left	 0	 17.497
linesB	 71	 109	 1	 524	 12	 395	 absent	 properTrial	 right	 1	 14.403
linesB	 71	 110	 1	 528	 16	 360	 absent	 properTrial	 right	 1	 14.915
linesB	 71	 111	 1	 525	 13	 384	 right	 properTrial	 right	 1	 0.773
linesB	 71	 112	 1	 555	 -43	 374	 absent	 properTrial	 left	 1	 16.163
linesB	 73	 17	 1	 487	 -25	 376	 absent	 properTrial	 right	 1	 21.906
linesB	 73	 18	 1	 492	 -20	 371	 absent	 properTrial	 right	 0	 11.545
linesB	 73	 19	 1	 475	 -37	 401	 right	 properTrial	 right	 1	 2.138
linesB	 73	 20	 1	 486	 -26	 388	 left	 properTrial	 right	 1	 2.991
linesB	 73	 21	 1	 482	 -30	 384	 left	 properTrial	 right	 1	 14.395
linesB	 73	 22	 1	 489	 -23	 380	 absent	 properTrial	 right	 0	 5.340
linesB	 73	 23	 1	 0	 0	 0	 left	 properTrial	 left	 1	 1.465
linesB	 73	 24	 1	 493	 19	 383	 right	 properTrial	 left	 1	 9.490
linesB	 73	 25	 1	 487	 -25	 396	 absent	 properTrial	 right	 1	 8.551
linesB	 73	 26	 1	 485	 27	 383	 right	 properTrial	 left	 0	 10.618
linesB	 73	 27	 1	 476	 -36	 396	 absent	 properTrial	 right	 0	 2.755
linesB	 73	 28	 1	 486	 -26	 399	 right	 properTrial	 right	 1	 1.960
linesB	 73	 29	 1	 475	 37	 379	 absent	 properTrial	 left	 0	 11.521
linesB	 73	 30	 1	 477	 -35	 392	 right	 properTrial	 right	 1	 4.814
linesB	 73	 31	 1	 471	 41	 386	 absent	 properTrial	 left	 1	 13.305
linesB	 73	 32	 1	 478	 34	 376	 absent	 properTrial	 left	 1	 9.248
linesB	 73	 33	 1	 480	 -32	 387	 absent	 properTrial	 right	 1	 10.315
linesB	 73	 34	 1	 475	 37	 404	 left	 properTrial	 left	 1	 1.995
linesB	 73	 35	 1	 478	 34	 406	 right	 properTrial	 left	 0	 7.861
linesB	 73	 36	 1	 474	 -38	 392	 left	 properTrial	 right	 0	 13.487
linesB	 73	 37	 1	 480	 32	 398	 absent	 properTrial	 left	 1	 12.136
linesB	 73	 38	 1	 481	 -31	 393	 absent	 properTrial	 right	 1	 12.756
linesB	 73	 39	 1	 486	 -26	 400	 absent	 properTrial	 right	 1	 7.636
linesB	 73	 40	 1	 485	 -27	 372	 right	 properTrial	 right	 1	 1.095
linesB	 73	 41	 1	 504	 8	 384	 absent	 properTrial	 left	 1	 10.689
linesB	 73	 42	 1	 495	 -17	 371	 left	 properTrial	 right	 0	 7.840
linesB	 73	 43	 1	 484	 28	 377	 absent	 properTrial	 left	 0	 7.325
linesB	 73	 44	 1	 477	 35	 383	 absent	 properTrial	 left	 1	 18.918
linesB	 73	 45	 1	 488	 -24	 367	 left	 properTrial	 right	 1	 9.627
linesB	 73	 46	 1	 509	 3	 395	 absent	 properTrial	 left	 1	 9.625
linesB	 73	 47	 1	 491	 21	 390	 left	 properTrial	 left	 1	 1.053
linesB	 73	 48	 1	 488	 24	 381	 right	 properTrial	 left	 0	 11.910
linesB	 73	 49	 1	 479	 -33	 401	 absent	 properTrial	 right	 1	 15.099
linesB	 73	 50	 1	 506	 6	 374	 right	 properTrial	 left	 1	 5.871
linesB	 73	 51	 1	 497	 -15	 385	 absent	 properTrial	 right	 0	 2.961
linesB	 73	 52	 1	 489	 23	 393	 absent	 properTrial	 left	 1	 14.558
linesB	 73	 53	 1	 494	 -18	 376	 absent	 properTrial	 right	 1	 13.533
linesB	 73	 54	 1	 493	 -19	 387	 right	 properTrial	 right	 1	 0.902
linesB	 73	 55	 1	 497	 -15	 368	 right	 properTrial	 right	 1	 2.039
linesB	 73	 56	 1	 479	 33	 384	 right	 properTrial	 left	 0	 10.432
linesB	 73	 57	 1	 484	 28	 392	 left	 properTrial	 left	 1	 1.138
linesB	 73	 58	 1	 484	 -28	 375	 absent	 properTrial	 right	 1	 12.218
linesB	 73	 59	 1	 503	 9	 379	 absent	 properTrial	 left	 1	 13.328
linesB	 73	 60	 1	 475	 37	 400	 absent	 properTrial	 left	 0	 6.338
linesB	 73	 61	 1	 481	 -31	 407	 right	 properTrial	 right	 1	 1.052
linesB	 73	 62	 1	 476	 36	 396	 left	 properTrial	 left	 1	 1.155
linesB	 73	 63	 1	 476	 36	 382	 right	 properTrial	 left	 1	 3.913
linesB	 73	 64	 1	 472	 -40	 383	 absent	 properTrial	 right	 0	 6.337
linesB	 73	 65	 1	 493	 -19	 364	 left	 properTrial	 right	 0	 10.902
linesB	 73	 66	 1	 500	 12	 392	 absent	 properTrial	 left	 0	 4.770
linesB	 73	 67	 1	 490	 22	 394	 left	 properTrial	 left	 1	 1.170
linesB	 73	 68	 1	 493	 -19	 367	 absent	 properTrial	 right	 1	 17.700
linesB	 73	 69	 1	 481	 31	 391	 absent	 properTrial	 left	 1	 15.928
linesB	 73	 70	 1	 0	 0	 0	 absent	 properTrial	 right	 1	 18.241
linesB	 73	 71	 1	 495	 -17	 402	 absent	 properTrial	 right	 1	 14.927
linesB	 73	 72	 1	 468	 -44	 402	 left	 properTrial	 right	 1	 4.702
linesB	 73	 73	 1	 482	 30	 407	 absent	 properTrial	 left	 1	 15.182
linesB	 73	 74	 1	 494	 -18	 388	 absent	 properTrial	 right	 1	 10.937
linesB	 73	 75	 1	 483	 29	 361	 left	 properTrial	 left	 1	 1.580
linesB	 73	 76	 1	 497	 -15	 377	 right	 properTrial	 right	 1	 1.010
linesB	 73	 77	 1	 472	 40	 401	 right	 properTrial	 left	 0	 18.561
linesB	 73	 78	 1	 475	 37	 401	 right	 properTrial	 left	 0	 17.522
linesB	 73	 79	 1	 472	 40	 413	 absent	 properTrial	 left	 1	 21.160
