"subj","condition","propHard"
" 1","linesB",0.731752375746363
" 11","linesB",0.412036645525018
" 12","linesB",0.13612309759907
" 13","linesB",0.511014552162328
" 14","linesB",0.535905395417591
" 15","linesB",0.390903594555306
" 2","linesB",0.247555303460011
" 21","linesB",0.265406103778197
" 22","linesB",0.385083953174528
" 23","linesB",0.616099828067913
" 24","linesB",0.364747589336358
" 25","linesB",0.651099030168798
" 3","linesB",0.385900494874514
" 31","linesB",0.385858374861986
" 32","linesB",0.627420009127326
" 33","linesB",0.550844821491693
" 34","linesB",0.801245059288538
" 35","linesB",0.669648206031788
" 4","linesB",0.431111111111111
" 41","linesB",0.386483451536643
" 42","linesB",0.78544552851934
" 43","linesB",0.227015979189892
" 44","linesB",0.829665089432531
" 45","linesB",0.241673881673882
" 5","linesB",0.635655865932956
" 51","linesB",0.885112110740745
" 52","linesB",0.536597323172254
" 53","linesB",0.542831806436458
" 54","linesB",0.427080868274423
" 55","linesB",0.792773654406509
" 61","linesB",0.835978052256315
" 62","linesB",0.684811529933481
" 64","linesB",0.361942011476895
" 65","linesB",0.682852284217299
