"condition","subject","trialNum","targSide","RT","accuracy"
"152","linesB","2",72,"absent",14.455,1
"153","linesB","2",73,"easy",0.99,1
"154","linesB","2",74,"hard",11.458,0
"155","linesB","2",75,"absent",13.623,1
"156","linesB","2",76,"easy",0.714,1
"157","linesB","2",77,"absent",10.261,1
"158","linesB","2",78,"hard",6.194,0
"159","linesB","2",79,"absent",10.577,0
"160","linesB","2",80,"absent",9.445,1
"161","linesB","2",81,"absent",7.881,1
"162","linesB","2",82,"absent",11.338,1
"163","linesB","2",83,"easy",0.995,1
"164","linesB","2",84,"easy",0.937,1
"165","linesB","2",85,"absent",10.816,1
"166","linesB","2",86,"easy",0.741,1
"167","linesB","2",87,"absent",9.744,1
"168","linesB","2",88,"hard",6.074,1
"169","linesB","2",89,"easy",0.996,1
"170","linesB","2",90,"easy",0.613,1
"171","linesB","2",91,"absent",7.932,1
"172","linesB","2",92,"easy",0.775,1
"173","linesB","2",93,"absent",7.366,1
"174","linesB","2",94,"hard",6.619,0
"175","linesB","2",95,"hard",7.89,0
"176","linesB","2",96,"absent",6.141,0
"177","linesB","2",97,"absent",9.235,1
"178","linesB","2",98,"absent",10.222,1
"179","linesB","2",99,"absent",11.715,1
"180","linesB","2",100,"hard",14.284,0
"181","linesB","2",101,"absent",10.16,1
"182","linesB","2",102,"hard",8.334,0
"183","linesB","2",103,"absent",10.253,1
"184","linesB","2",104,"hard",11.764,0
"185","linesB","2",105,"easy",0.709,1
"186","linesB","2",106,"absent",9.575,1
"187","linesB","2",107,"easy",0.582,1
"188","linesB","2",108,"hard",4.498,1
"189","linesB","2",109,"absent",7.008,1
"190","linesB","2",110,"absent",10.198,1
"191","linesB","2",111,"easy",0.671,1
"192","linesB","2",112,"absent",11.033,1
"193","linesB","3",17,"easy",0.902,1
"194","linesB","3",18,"hard",5.547,0
"195","linesB","3",19,"easy",0.953,1
"196","linesB","3",20,"hard",6.409,0
"197","linesB","3",21,"easy",0.948,1
"198","linesB","3",22,"absent",7.193,1
"199","linesB","3",23,"absent",8.535,1
"200","linesB","3",24,"easy",1.518,1
"201","linesB","3",25,"hard",9.277,0
"202","linesB","3",26,"absent",11.529,1
"203","linesB","3",27,"absent",7.452,1
"204","linesB","3",28,"absent",8.579,1
"205","linesB","3",29,"absent",11.518,1
"206","linesB","3",30,"absent",8.641,1
"207","linesB","3",31,"easy",1.274,1
"208","linesB","3",32,"absent",8.53,1
"209","linesB","3",33,"hard",11.926,1
"210","linesB","3",34,"easy",1.11,1
"211","linesB","3",35,"absent",12.597,1
"212","linesB","3",36,"absent",10.762,1
"213","linesB","3",37,"absent",8.021,0
"214","linesB","3",38,"absent",12.105,1
"215","linesB","3",39,"hard",9.359,0
"216","linesB","3",40,"hard",4.978,0
"217","linesB","3",41,"absent",5.201,1
"218","linesB","3",42,"absent",5.839,0
"219","linesB","3",43,"absent",10.553,1
"220","linesB","3",44,"absent",7.424,1
"221","linesB","3",45,"easy",1.584,1
"222","linesB","3",46,"easy",1.142,1
"223","linesB","3",47,"hard",10.651,0
"224","linesB","3",48,"absent",10.603,1
"225","linesB","3",49,"easy",0.709,1
"226","linesB","3",50,"absent",9.57,1
"227","linesB","3",51,"absent",5.74,1
"228","linesB","3",52,"easy",0.823,1
"229","linesB","3",53,"absent",7.704,1
"230","linesB","3",54,"hard",9.347,0
"231","linesB","3",55,"absent",7.701,0
"232","linesB","3",56,"absent",7.638,1
"233","linesB","3",57,"hard",9.108,0
"234","linesB","3",58,"easy",0.945,1
"235","linesB","3",59,"hard",10.32,0
"236","linesB","3",60,"hard",10.778,0
"237","linesB","3",61,"absent",9.414,1
"238","linesB","3",62,"easy",0.953,1
"239","linesB","3",63,"hard",7.379,0
"240","linesB","3",64,"absent",9.833,1
"241","linesB","3",65,"absent",9.291,1
"242","linesB","3",66,"easy",1.275,1
"243","linesB","3",67,"absent",11.413,1
"244","linesB","3",68,"hard",10.269,0
"245","linesB","3",69,"absent",5.697,1
"246","linesB","3",70,"hard",6.974,1
"247","linesB","3",71,"hard",7.815,0
"248","linesB","3",72,"absent",8.335,1
"249","linesB","3",73,"easy",1.184,1
"250","linesB","3",74,"hard",9.222,1
"251","linesB","3",75,"absent",9.225,0
"252","linesB","3",76,"easy",0.943,1
"253","linesB","3",77,"absent",7.042,0
"254","linesB","3",78,"hard",3.537,1
"255","linesB","3",79,"absent",9.187,1
"256","linesB","3",80,"absent",10.895,1
"257","linesB","3",81,"absent",10.566,1
"258","linesB","3",82,"absent",11.479,1
"259","linesB","3",83,"easy",0.889,1
"260","linesB","3",84,"easy",1.037,1
"261","linesB","3",85,"absent",13.785,1
"262","linesB","3",86,"easy",0.704,1
"263","linesB","3",87,"absent",6.415,1
"264","linesB","3",88,"hard",8.291,0
"265","linesB","3",89,"easy",0.703,1
"266","linesB","3",90,"easy",0.556,1
"267","linesB","3",91,"absent",9.31,1
"268","linesB","3",92,"easy",0.763,1
"269","linesB","3",93,"absent",9.793,1
"270","linesB","3",94,"hard",7.993,0
"271","linesB","3",95,"hard",2.774,1
"272","linesB","3",96,"absent",10.338,1
"273","linesB","3",97,"absent",8.397,1
"274","linesB","3",98,"absent",9.737,1
"275","linesB","3",99,"absent",9.765,1
"276","linesB","3",100,"hard",5.386,0
"277","linesB","3",101,"absent",8.222,1
"278","linesB","3",102,"hard",6.814,0
"279","linesB","3",103,"absent",10.766,1
"280","linesB","3",104,"hard",10.083,0
"281","linesB","3",105,"easy",0.722,1
"282","linesB","3",106,"absent",8.383,1
"283","linesB","3",107,"easy",0.735,1
"284","linesB","3",108,"hard",7.139,0
"285","linesB","3",109,"absent",6.643,1
"286","linesB","3",110,"absent",6.851,1
"287","linesB","3",111,"easy",0.736,1
"288","linesB","3",112,"absent",6.555,0
"289","linesB","4",17,"absent",6.418,1
"290","linesB","4",18,"hard",6.989,0
"291","linesB","4",19,"absent",11.803,1
"292","linesB","4",20,"absent",15.117,1
"293","linesB","4",21,"absent",18.453,1
"294","linesB","4",22,"hard",22.287,0
"295","linesB","4",23,"absent",17.024,1
"296","linesB","4",24,"hard",23.098,0
"297","linesB","4",25,"absent",19.43,0
"298","linesB","4",26,"easy",29.47,0
"299","linesB","4",27,"absent",27.696,1
"300","linesB","4",28,"hard",23.174,0
"301","linesB","4",29,"easy",4.128,1
"302","linesB","4",30,"absent",13.692,1
"303","linesB","4",31,"easy",1.002,1
"304","linesB","4",32,"hard",8.705,0
"305","linesB","4",33,"easy",0.92,1
"306","linesB","4",34,"easy",0.945,1
"307","linesB","4",35,"absent",11.56,1
"308","linesB","4",36,"absent",5.017,0
"309","linesB","4",37,"hard",8.73,0
"310","linesB","4",38,"easy",1.015,1
"311","linesB","4",39,"absent",11.039,1
"312","linesB","4",40,"absent",7.672,1
"313","linesB","4",41,"easy",2.929,1
"314","linesB","4",42,"absent",4.913,1
"315","linesB","4",43,"absent",7.518,1
"316","linesB","4",44,"absent",7.622,1
"317","linesB","4",45,"absent",12.066,1
"318","linesB","4",46,"hard",4.087,1
"319","linesB","4",47,"easy",1.024,1
"320","linesB","4",48,"easy",2.022,1
"321","linesB","4",49,"hard",8.674,0
"322","linesB","4",50,"absent",12.916,1
"323","linesB","4",51,"absent",6.028,1
"324","linesB","4",52,"absent",9.187,1
"325","linesB","4",53,"easy",0.821,1
"326","linesB","4",54,"easy",0.773,1
"327","linesB","4",55,"absent",7.148,1
"328","linesB","4",56,"hard",5.686,0
"329","linesB","4",57,"absent",10.302,1
"330","linesB","4",58,"hard",9.943,0
"331","linesB","4",59,"absent",11.978,1
"332","linesB","4",60,"hard",11.953,0
"333","linesB","4",61,"easy",0.948,1
"334","linesB","4",62,"hard",12.195,0
"335","linesB","4",63,"absent",12.519,1
"336","linesB","4",64,"absent",10.688,1
"337","linesB","4",65,"easy",0.935,1
"338","linesB","4",66,"easy",1.497,1
"339","linesB","4",67,"hard",2.969,0
"340","linesB","4",68,"hard",2.99,0
"341","linesB","4",69,"hard",6.904,0
"342","linesB","4",70,"easy",1.153,1
"343","linesB","4",71,"hard",9.517,0
"344","linesB","4",72,"absent",19.688,1
"345","linesB","4",73,"absent",8.999,1
"346","linesB","4",74,"absent",7.192,1
"347","linesB","4",75,"absent",7.643,1
"348","linesB","4",76,"absent",8.837,1
"349","linesB","4",77,"absent",9.048,1
"350","linesB","4",78,"absent",8.996,1
"351","linesB","4",79,"absent",6.748,1
"352","linesB","4",80,"absent",8.661,1
"353","linesB","4",81,"easy",0.727,1
"354","linesB","4",82,"hard",3.87,1
"355","linesB","4",83,"absent",9.801,1
"356","linesB","4",84,"hard",5.271,0
"357","linesB","4",85,"easy",0.819,1
"358","linesB","4",86,"absent",8.73,1
"359","linesB","4",87,"easy",0.685,1
"360","linesB","4",88,"absent",7.711,1
"361","linesB","4",89,"absent",2.953,1
"362","linesB","4",90,"absent",4.721,1
"363","linesB","4",91,"absent",7.365,1
"364","linesB","4",92,"absent",4.906,1
"365","linesB","4",93,"easy",0.883,1
"366","linesB","4",94,"easy",0.798,0
"367","linesB","4",95,"absent",9.193,1
"368","linesB","4",96,"easy",0.937,1
"369","linesB","4",97,"hard",7.82,0
"370","linesB","4",98,"hard",5.009,0
"371","linesB","4",99,"hard",9.449,0
"372","linesB","4",100,"absent",20.931,1
"373","linesB","4",101,"hard",16.079,0
"374","linesB","4",102,"absent",15.933,1
"375","linesB","4",103,"easy",0.896,1
"376","linesB","4",104,"hard",12.976,1
"377","linesB","4",105,"easy",0.804,1
"378","linesB","4",106,"absent",15.679,1
"379","linesB","4",107,"hard",12.116,0
"380","linesB","4",108,"absent",20.036,1
"381","linesB","4",109,"absent",17.477,1
"382","linesB","4",110,"easy",1.197,1
"383","linesB","4",111,"absent",11.87,1
"384","linesB","4",112,"absent",13.05,1
"385","linesB","5",17,"easy",1.55,1
"386","linesB","5",18,"hard",15.591,0
"387","linesB","5",19,"easy",5.686,1
"388","linesB","5",20,"hard",7.898,0
"389","linesB","5",21,"easy",1.129,1
"390","linesB","5",22,"absent",11.079,0
"391","linesB","5",23,"absent",15.531,1
"392","linesB","5",24,"easy",2.961,1
"393","linesB","5",25,"hard",5.531,1
"394","linesB","5",26,"absent",14.909,1
"395","linesB","5",27,"absent",9.779,1
"396","linesB","5",28,"absent",12.067,1
"397","linesB","5",29,"absent",11.983,1
"398","linesB","5",30,"absent",11.499,1
"399","linesB","5",31,"easy",0.949,1
"400","linesB","5",32,"absent",11.938,1
"401","linesB","5",33,"hard",11.321,0
"402","linesB","5",34,"easy",1.023,1
"403","linesB","5",35,"absent",12.398,1
"404","linesB","5",36,"absent",11.125,1
"405","linesB","5",37,"absent",14.03,1
"406","linesB","5",38,"absent",11.339,1
"407","linesB","5",39,"hard",2.791,1
"408","linesB","5",40,"hard",11.499,0
"409","linesB","5",41,"absent",13.383,1
"410","linesB","5",42,"absent",12.305,1
"411","linesB","5",43,"absent",7.535,1
"412","linesB","5",44,"absent",11.027,1
"413","linesB","5",45,"easy",13.159,0
"414","linesB","5",46,"easy",1.26,1
"415","linesB","5",47,"hard",16.779,0
"416","linesB","5",48,"absent",12.615,1
"417","linesB","5",49,"easy",1.177,1
"418","linesB","5",50,"absent",16.359,1
"419","linesB","5",51,"absent",13.571,1
"420","linesB","5",52,"easy",1.235,1
"421","linesB","5",53,"absent",10.95,1
"422","linesB","5",54,"hard",8.994,0
"423","linesB","5",55,"absent",14.571,1
"424","linesB","5",56,"absent",10.859,1
"425","linesB","5",57,"hard",11.936,0
"426","linesB","5",58,"easy",1.582,1
"427","linesB","5",59,"hard",15.919,0
"428","linesB","5",60,"hard",20.852,0
"429","linesB","5",61,"absent",31.588,1
"430","linesB","5",62,"easy",1.347,1
"431","linesB","5",63,"hard",21.998,0
"432","linesB","5",64,"absent",22.28,1
"433","linesB","5",65,"absent",10.143,1
"434","linesB","5",66,"easy",0.999,1
"435","linesB","5",67,"absent",7.049,1
"436","linesB","5",68,"hard",10.468,0
"437","linesB","5",69,"absent",15.421,1
"438","linesB","5",70,"hard",15.429,0
"439","linesB","5",71,"hard",12.486,1
"440","linesB","5",72,"absent",18.227,1
"441","linesB","5",73,"easy",1.591,1
"442","linesB","5",74,"hard",10.963,0
"443","linesB","5",75,"absent",11.817,1
"444","linesB","5",76,"easy",1.032,1
"445","linesB","5",77,"absent",20.576,1
"446","linesB","5",78,"hard",10.928,1
"447","linesB","5",79,"absent",11.098,1
"448","linesB","5",80,"absent",8.932,1
"449","linesB","5",81,"absent",11.879,1
"450","linesB","5",82,"absent",7.477,1
"451","linesB","5",83,"easy",0.849,1
"452","linesB","5",84,"easy",1.092,1
"453","linesB","5",85,"absent",9.194,1
"454","linesB","5",86,"easy",1.091,1
"455","linesB","5",87,"absent",5.556,1
"456","linesB","5",88,"hard",7.932,0
"457","linesB","5",89,"easy",0.939,1
"458","linesB","5",90,"easy",0.915,1
"459","linesB","5",91,"absent",9.419,1
"460","linesB","5",92,"easy",0.759,1
"461","linesB","5",93,"absent",7.655,1
"462","linesB","5",94,"hard",5.846,0
"463","linesB","5",95,"hard",1.731,1
"464","linesB","5",96,"absent",11.991,1
"465","linesB","5",97,"absent",10.286,1
"466","linesB","5",98,"absent",7.122,1
"467","linesB","5",99,"absent",9.016,1
"468","linesB","5",100,"hard",5.178,1
"469","linesB","5",101,"absent",5.457,1
"470","linesB","5",102,"hard",9.338,0
"471","linesB","5",103,"absent",10.277,1
"472","linesB","5",104,"hard",6.967,0
"473","linesB","5",105,"easy",0.776,1
"474","linesB","5",106,"absent",16.187,1
"475","linesB","5",107,"easy",0.93,1
"476","linesB","5",108,"hard",6.22,0
"477","linesB","5",109,"absent",10.881,1
"478","linesB","5",110,"absent",12.885,1
"479","linesB","5",111,"easy",0.81,1
"480","linesB","5",112,"absent",6.057,1
"481","linesB","11",17,"easy",1.425,1
"482","linesB","11",18,"hard",8.481,0
"483","linesB","11",19,"easy",1.144,1
"484","linesB","11",20,"hard",5.818,1
"485","linesB","11",21,"easy",1.012,1
"486","linesB","11",22,"absent",20.416,1
"487","linesB","11",23,"absent",10.902,1
"488","linesB","11",24,"easy",1.622,1
"489","linesB","11",25,"hard",2.96,1
"490","linesB","11",26,"absent",16.6,1
"491","linesB","11",27,"absent",20.68,1
"492","linesB","11",28,"absent",13.433,1
"493","linesB","11",29,"absent",7.569,1
"494","linesB","11",30,"absent",12.92,1
"495","linesB","11",31,"easy",1.245,1
"496","linesB","11",32,"absent",11.656,1
"497","linesB","11",33,"hard",8.487,0
"498","linesB","11",34,"easy",1.217,1
"499","linesB","11",35,"absent",15.735,1
"500","linesB","11",36,"absent",16.419,1
"501","linesB","11",37,"absent",18.483,1
"502","linesB","11",38,"absent",17.13,1
"503","linesB","11",39,"hard",13.041,1
"504","linesB","11",40,"hard",22.802,0
"505","linesB","11",41,"absent",16.245,1
"506","linesB","11",42,"absent",17.064,1
"507","linesB","11",43,"absent",17.475,1
"508","linesB","11",44,"absent",15.304,1
"509","linesB","11",45,"easy",3.897,1
"510","linesB","11",46,"easy",1.02,1
"511","linesB","11",47,"hard",4.231,1
"512","linesB","11",48,"absent",13.613,1
"513","linesB","11",49,"easy",0.759,1
"514","linesB","11",50,"absent",23.275,1
"515","linesB","11",51,"absent",11.376,1
"516","linesB","11",52,"easy",0.782,1
"517","linesB","11",53,"absent",7.525,1
"518","linesB","11",54,"hard",7.281,0
"519","linesB","11",55,"absent",20.238,1
"520","linesB","11",56,"absent",21.101,1
"521","linesB","11",57,"hard",22.619,0
"522","linesB","11",58,"easy",1.185,1
"523","linesB","11",59,"hard",37.996,0
"524","linesB","11",60,"hard",3.221,1
"525","linesB","11",61,"absent",46.953,1
"526","linesB","11",62,"easy",1.031,1
"527","linesB","11",63,"hard",22.725,1
"528","linesB","11",64,"absent",39.21,1
"529","linesB","11",65,"absent",17.343,1
"530","linesB","11",66,"easy",0.794,1
"531","linesB","11",67,"absent",33.158,1
"532","linesB","11",68,"hard",4.118,1
"533","linesB","11",69,"absent",15.912,1
"534","linesB","11",70,"hard",3.384,1
"535","linesB","11",71,"hard",5.901,1
"536","linesB","11",72,"absent",24.868,1
"537","linesB","11",73,"easy",0.863,1
"538","linesB","11",74,"hard",3.921,1
"539","linesB","11",75,"absent",25.761,1
"540","linesB","11",76,"easy",0.666,1
"541","linesB","11",77,"absent",41.172,1
