person,prop_hard,site,targ_side_rel,median_rt,accuracy
6,0.8968360071301248,Aberdeen,absent,12.753,0.7872340425531915
6,0.8968360071301248,Aberdeen,easy,0.996,1
6,0.8968360071301248,Aberdeen,hard,7.243,0.5217391304347826
9,0.5796981077567529,Aberdeen,absent,14.7,1
9,0.5796981077567529,Aberdeen,easy,1.053,1
9,0.5796981077567529,Aberdeen,hard,11.185,0.375
11,0.5935569498069498,Aberdeen,absent,4.766,0.9166666666666666
11,0.5935569498069498,Aberdeen,easy,0.8534999999999999,0.9583333333333334
11,0.5935569498069498,Aberdeen,hard,4.418,0.25
12,0.6073986563018504,Aberdeen,absent,6.6905,0.875
12,0.6073986563018504,Aberdeen,easy,1.248,1
12,0.6073986563018504,Aberdeen,hard,5.8085,0.25
13,0.7460107835107835,Aberdeen,absent,4.4185,1
13,0.7460107835107835,Aberdeen,easy,1.0510000000000002,1
13,0.7460107835107835,Aberdeen,hard,3.7435,0.25
15,0.5580094537815126,Aberdeen,absent,4.9,0.8297872340425532
15,0.5580094537815126,Aberdeen,easy,0.6785000000000001,1
15,0.5580094537815126,Aberdeen,hard,4.025,0.4782608695652174
16,0.5522005438286659,Aberdeen,absent,22.5625,1
16,0.5522005438286659,Aberdeen,easy,1.11,1
16,0.5522005438286659,Aberdeen,hard,15.354500000000002,0.7916666666666666
17,0.5753234363557677,Aberdeen,absent,8.6645,0.9375
17,0.5753234363557677,Aberdeen,easy,0.885,1
17,0.5753234363557677,Aberdeen,hard,7.602499999999999,0.3333333333333333
18,0.3680555555555555,Aberdeen,absent,5.188,0.8297872340425532
18,0.3680555555555555,Aberdeen,easy,0.8035000000000001,0.9583333333333334
18,0.3680555555555555,Aberdeen,hard,4.0265,0.20833333333333334
19,0.4225901377064168,Aberdeen,absent,7.449,0.9583333333333334
19,0.4225901377064168,Aberdeen,easy,1.0745,0.9583333333333334
19,0.4225901377064168,Aberdeen,hard,5.8665,0.16666666666666666
21,0.786164475901584,Aberdeen,absent,4.497,0.9787234042553191
21,0.786164475901584,Aberdeen,easy,0.709,1
21,0.786164475901584,Aberdeen,hard,2.621,0.5416666666666666
22,0.35462077627420796,Aberdeen,absent,44.141999999999996,0.8958333333333334
22,0.35462077627420796,Aberdeen,easy,3.2344999999999997,0.9583333333333334
22,0.35462077627420796,Aberdeen,hard,36.782,0.2916666666666667
23,0.719946509009009,Aberdeen,absent,19.986,0.851063829787234
23,0.719946509009009,Aberdeen,easy,1.1524999999999999,1
23,0.719946509009009,Aberdeen,hard,13.157,0.6818181818181818
24,0.2910987768527084,Aberdeen,absent,20.256,0.9791666666666666
24,0.2910987768527084,Aberdeen,easy,1.0125,1
24,0.2910987768527084,Aberdeen,hard,15.024000000000001,0.75
25,0.6643846238358434,Aberdeen,absent,23.661,0.8958333333333334
25,0.6643846238358434,Aberdeen,easy,1.719,0.9565217391304348
25,0.6643846238358434,Aberdeen,hard,19.9485,0.16666666666666666
26,0.5512485481997677,Aberdeen,absent,19.704500000000003,0.9791666666666666
26,0.5512485481997677,Aberdeen,easy,1.0979999999999999,1
26,0.5512485481997677,Aberdeen,hard,17.4665,0.4166666666666667
27,0.3048749692042375,Aberdeen,absent,18.4665,0.9583333333333334
27,0.3048749692042375,Aberdeen,easy,0.877,1
27,0.3048749692042375,Aberdeen,hard,14.067,0.5
28,0.6198717948717949,Aberdeen,absent,9.014,0.8958333333333334
28,0.6198717948717949,Aberdeen,easy,1.1005,1
28,0.6198717948717949,Aberdeen,hard,7.715999999999999,0.4166666666666667
29,0.5743662224403503,Aberdeen,absent,10.6945,0.9166666666666666
29,0.5743662224403503,Aberdeen,easy,0.8195,0.9583333333333334
29,0.5743662224403503,Aberdeen,hard,6.688,0.30434782608695654
32,0.2625565273131196,Aberdeen,absent,13.475000000000001,0.75
32,0.2625565273131196,Aberdeen,easy,0.96,1
32,0.2625565273131196,Aberdeen,hard,7.789,0.6086956521739131
33,0.40939754689754687,Aberdeen,absent,21.512,1
33,0.40939754689754687,Aberdeen,easy,1.3405,1
33,0.40939754689754687,Aberdeen,hard,20.269,0.16666666666666666
35,0.4295621657754011,Aberdeen,absent,8.256499999999999,0.9583333333333334
35,0.4295621657754011,Aberdeen,easy,0.899,1
35,0.4295621657754011,Aberdeen,hard,6.649,0.30434782608695654
36,0.8037427661725792,Aberdeen,absent,6.156499999999999,1
36,0.8037427661725792,Aberdeen,easy,0.8155,0.875
36,0.8037427661725792,Aberdeen,hard,6.2170000000000005,0.375
38,0.2513565891472868,Aberdeen,absent,22.329,0.9791666666666666
38,0.2513565891472868,Aberdeen,easy,1.213,1
38,0.2513565891472868,Aberdeen,hard,20.247999999999998,0.2916666666666667
39,0.4468196395191302,Aberdeen,absent,12.3235,1
39,0.4468196395191302,Aberdeen,easy,0.89,1
39,0.4468196395191302,Aberdeen,hard,10.954,0.5
40,0.15743321718931474,Aberdeen,absent,12.605,0.875
40,0.15743321718931474,Aberdeen,easy,0.665,0.9565217391304348
40,0.15743321718931474,Aberdeen,hard,10.7875,0.4583333333333333
42,0.37408845788522227,Aberdeen,absent,14.3245,1
42,0.37408845788522227,Aberdeen,easy,1.694,0.875
42,0.37408845788522227,Aberdeen,hard,12.516,0.4782608695652174
44,0.7229300385109114,Aberdeen,absent,8.745000000000001,0.9166666666666666
44,0.7229300385109114,Aberdeen,easy,1.04,1
44,0.7229300385109114,Aberdeen,hard,8.2325,0.16666666666666666
45,0.4209438131313131,Aberdeen,absent,17.66,0.9583333333333334
45,0.4209438131313131,Aberdeen,easy,1.3170000000000002,1
45,0.4209438131313131,Aberdeen,hard,15.620000000000001,0.5416666666666666
46,0.836838911922338,Aberdeen,absent,13.026,0.7708333333333334
46,0.836838911922338,Aberdeen,easy,1.6235,1
46,0.836838911922338,Aberdeen,hard,10.620000000000001,0.4166666666666667
103,0.7078395277599684,Aberdeen,absent,3.873,0.9166666666666666
103,0.7078395277599684,Aberdeen,easy,1.246,0.9130434782608695
103,0.7078395277599684,Aberdeen,hard,3.589,0.20833333333333334
104,0.5720081453634085,Aberdeen,absent,5.6225000000000005,0.875
104,0.5720081453634085,Aberdeen,easy,1.494,0.9166666666666666
104,0.5720081453634085,Aberdeen,hard,4.6145,0.3333333333333333
105,0.2761904761904762,Aberdeen,absent,12.799,0.9782608695652174
105,0.2761904761904762,Aberdeen,easy,1.063,0.9565217391304348
105,0.2761904761904762,Aberdeen,hard,12.1745,0.16666666666666666
107,0.28979328598231036,Aberdeen,absent,36.021,0.9361702127659575
107,0.28979328598231036,Aberdeen,easy,1.375,1
107,0.28979328598231036,Aberdeen,hard,24.525,0.782608695652174
109,0.820925176188334,Aberdeen,absent,9.1835,0.875
109,0.820925176188334,Aberdeen,easy,1.2189999999999999,1
109,0.820925176188334,Aberdeen,hard,8.055,0.13043478260869565
110,0.256547619047619,Aberdeen,absent,16.355,1
110,0.256547619047619,Aberdeen,easy,0.9115,1
110,0.256547619047619,Aberdeen,hard,14.8615,0.2916666666666667
111,0.4176721224528076,Aberdeen,absent,33.579,0.9791666666666666
111,0.4176721224528076,Aberdeen,easy,2.5875,0.9583333333333334
111,0.4176721224528076,Aberdeen,hard,31.1545,0.25
112,0.2840479781656252,Aberdeen,absent,31.147,1
112,0.2840479781656252,Aberdeen,easy,0.954,1
112,0.2840479781656252,Aberdeen,hard,25.302,0.6666666666666666
113,0.3890385510456289,Aberdeen,absent,29.5915,0.9791666666666666
113,0.3890385510456289,Aberdeen,easy,1.0365,1
113,0.3890385510456289,Aberdeen,hard,24.4145,0.625
116,0.5312123544823488,Aberdeen,absent,2.9625,0.9166666666666666
116,0.5312123544823488,Aberdeen,easy,0.889,1
116,0.5312123544823488,Aberdeen,hard,2.8369999999999997,0.041666666666666664
118,0.7826235326235327,Aberdeen,absent,13.8225,0.7916666666666666
118,0.7826235326235327,Aberdeen,easy,1.3225,0.8333333333333334
118,0.7826235326235327,Aberdeen,hard,11.507,0.625
120,0.6330346130126426,Aberdeen,absent,6.4045000000000005,1
120,0.6330346130126426,Aberdeen,easy,0.801,1
120,0.6330346130126426,Aberdeen,hard,5.6884999999999994,0.16666666666666666
123,0.6039193022424729,Aberdeen,absent,9.316,0.8723404255319149
123,0.6039193022424729,Aberdeen,easy,1.1880000000000002,0.9166666666666666
123,0.6039193022424729,Aberdeen,hard,6.1434999999999995,0.4583333333333333
125,0.6758838383838384,Aberdeen,absent,10.861,1
125,0.6758838383838384,Aberdeen,easy,1.616,0.9583333333333334
125,0.6758838383838384,Aberdeen,hard,8.9835,0.4583333333333333
126,0.6796717171717171,Aberdeen,absent,30.059,0.9787234042553191
126,0.6796717171717171,Aberdeen,easy,0.909,1
126,0.6796717171717171,Aberdeen,hard,20.0475,0.7083333333333334
300,0.5457902604641736,Aberdeen,absent,3.872,1
300,0.5457902604641736,Aberdeen,easy,1.134,0.9583333333333334
300,0.5457902604641736,Aberdeen,hard,3.8355,0.20833333333333334
302,0.7818722943722944,Aberdeen,absent,7.755,0.8125
302,0.7818722943722944,Aberdeen,easy,1.4625,0.9583333333333334
302,0.7818722943722944,Aberdeen,hard,7.3345,0.4166666666666667
303,0.5791640740452672,Aberdeen,absent,7.333,1
303,0.5791640740452672,Aberdeen,easy,1.252,1
303,0.5791640740452672,Aberdeen,hard,7.4825,0.3333333333333333
305,0.7901331311088642,Aberdeen,absent,6.9025,1
305,0.7901331311088642,Aberdeen,easy,1.807,0.9583333333333334
305,0.7901331311088642,Aberdeen,hard,6.667,0.16666666666666666
306,0.44954434293097084,Aberdeen,absent,27.0195,1
306,0.44954434293097084,Aberdeen,easy,1.231,0.9583333333333334
306,0.44954434293097084,Aberdeen,hard,13.761,0.782608695652174
308,0.7026553696072659,Aberdeen,absent,2.443,1
308,0.7026553696072659,Aberdeen,easy,1.03,0.875
308,0.7026553696072659,Aberdeen,hard,2.133,0
310,0.46350247009574075,Aberdeen,absent,33.2735,1
310,0.46350247009574075,Aberdeen,easy,0.977,1
310,0.46350247009574075,Aberdeen,hard,27.279,0.375
311,0.6013710981221241,Aberdeen,absent,14.571,0.9166666666666666
311,0.6013710981221241,Aberdeen,easy,0.961,1
311,0.6013710981221241,Aberdeen,hard,9.652,0.4782608695652174
313,0.8916071243657451,Aberdeen,absent,5.729,0.8723404255319149
313,0.8916071243657451,Aberdeen,easy,1.052,1
313,0.8916071243657451,Aberdeen,hard,5.742,0.375
314,0.6406355645706558,Aberdeen,absent,32.8755,0.9347826086956522
314,0.6406355645706558,Aberdeen,easy,2.064,1
314,0.6406355645706558,Aberdeen,hard,28.462000000000003,0.5
315,0.37559903864251687,Aberdeen,absent,37.616,0.9583333333333334
315,0.37559903864251687,Aberdeen,easy,1.4245,1
315,0.37559903864251687,Aberdeen,hard,23.0135,0.5833333333333334
316,0.5795193687230991,Aberdeen,absent,24.997500000000002,1
316,0.5795193687230991,Aberdeen,easy,1.1945000000000001,1
316,0.5795193687230991,Aberdeen,hard,17.136,0.75
318,0.5114788437369082,Aberdeen,absent,22.138,0.7872340425531915
318,0.5114788437369082,Aberdeen,easy,1.275,1
318,0.5114788437369082,Aberdeen,hard,18.417,0.4583333333333333
319,0.3867085489036709,Aberdeen,absent,6.4835,0.9375
319,0.3867085489036709,Aberdeen,easy,0.905,1
319,0.3867085489036709,Aberdeen,hard,6.021,0.125
320,0.5730118786987308,Aberdeen,absent,20.613,1
320,0.5730118786987308,Aberdeen,easy,1.3725,0.9583333333333334
320,0.5730118786987308,Aberdeen,hard,13.7665,0.5416666666666666
321,0.5144927536231884,Aberdeen,absent,4.8149999999999995,1
321,0.5144927536231884,Aberdeen,easy,1.857,0.8695652173913043
321,0.5144927536231884,Aberdeen,hard,4.281499999999999,0.041666666666666664
322,0.241535949498538,Aberdeen,absent,29.868,1
322,0.241535949498538,Aberdeen,easy,1.551,1
322,0.241535949498538,Aberdeen,hard,25.4665,0.5
404,0.3521088725536358,Aberdeen,absent,13.2545,0.9166666666666666
404,0.3521088725536358,Aberdeen,easy,1.0219999999999998,0.9583333333333334
404,0.3521088725536358,Aberdeen,hard,11.725999999999999,0.5416666666666666
405,0.7077260215247851,Aberdeen,absent,7.954,1
405,0.7077260215247851,Aberdeen,easy,1.03,0.9565217391304348
405,0.7077260215247851,Aberdeen,hard,4.2095,0.625
406,0.4484610917537747,Aberdeen,absent,7.126,0.9361702127659575
406,0.4484610917537747,Aberdeen,easy,0.945,0.9565217391304348
406,0.4484610917537747,Aberdeen,hard,8.232500000000002,0.125
407,0.40905572755417957,Aberdeen,absent,38.581500000000005,0.8541666666666666
407,0.40905572755417957,Aberdeen,easy,0.8465,1
407,0.40905572755417957,Aberdeen,hard,24.965,0.5
408,0.5799046697982868,Aberdeen,absent,7.146,1
408,0.5799046697982868,Aberdeen,easy,0.7155,1
408,0.5799046697982868,Aberdeen,hard,5.5265,0.5833333333333334
409,0.6037912912912913,Aberdeen,absent,6.333500000000001,0.9166666666666666
409,0.6037912912912913,Aberdeen,easy,1.34,1
409,0.6037912912912913,Aberdeen,hard,5.996,0.16666666666666666
410,0.8612423633078468,Aberdeen,absent,2.8834999999999997,0.9375
410,0.8612423633078468,Aberdeen,easy,0.697,1
410,0.8612423633078468,Aberdeen,hard,2.6895,0.20833333333333334
411,0.5900001568479829,Aberdeen,absent,10.157,0.9583333333333334
411,0.5900001568479829,Aberdeen,easy,1.2690000000000001,1
411,0.5900001568479829,Aberdeen,hard,10.4285,0.2916666666666667
412,0.5132575757575757,Aberdeen,absent,8.23,1
412,0.5132575757575757,Aberdeen,easy,1.0535,1
412,0.5132575757575757,Aberdeen,hard,7.3465,0.125
413,0.41321924603174603,Aberdeen,absent,8.761,0.7659574468085106
413,0.41321924603174603,Aberdeen,easy,1.245,0.875
413,0.41321924603174603,Aberdeen,hard,6.779,0.30434782608695654
414,0.3953379953379953,Aberdeen,absent,28.304,1
414,0.3953379953379953,Aberdeen,easy,1.2455,1
414,0.3953379953379953,Aberdeen,hard,17.999000000000002,0.5
416,0.4950611325611326,Aberdeen,absent,3.9595000000000002,0.8958333333333334
416,0.4950611325611326,Aberdeen,easy,0.928,0.9565217391304348
416,0.4950611325611326,Aberdeen,hard,4.864,0.08695652173913043
417,0.18142730496453902,Aberdeen,absent,10.1095,1
417,0.18142730496453902,Aberdeen,easy,0.873,1
417,0.18142730496453902,Aberdeen,hard,11.388000000000002,0.08333333333333333
418,0.8113953336276385,Aberdeen,absent,12.2985,0.8333333333333334
418,0.8113953336276385,Aberdeen,easy,1.087,1
418,0.8113953336276385,Aberdeen,hard,7.4985,0.5416666666666666
419,0.3332124309059622,Aberdeen,absent,13.8305,0.9583333333333334
419,0.3332124309059622,Aberdeen,easy,1.0455,1
419,0.3332124309059622,Aberdeen,hard,8.964500000000001,0.4583333333333333
422,0.8408841158841159,Aberdeen,absent,6.229,0.7659574468085106
422,0.8408841158841159,Aberdeen,easy,1.435,1
422,0.8408841158841159,Aberdeen,hard,5.817500000000001,0.375
423,0.6418008636588548,Aberdeen,absent,3.6085000000000003,0.9791666666666666
423,0.6418008636588548,Aberdeen,easy,0.715,1
423,0.6418008636588548,Aberdeen,hard,2.732,0.20833333333333334
424,0.25334861217214155,Aberdeen,absent,18.2385,0.9583333333333334
424,0.25334861217214155,Aberdeen,easy,1.0875,1
424,0.25334861217214155,Aberdeen,hard,18.2075,0.25
425,0.5888183453972928,Aberdeen,absent,8.645,0.8541666666666666
425,0.5888183453972928,Aberdeen,easy,1.2839999999999998,0.9583333333333334
425,0.5888183453972928,Aberdeen,hard,7.119,0.391304347826087
426,0.43577235772357725,Aberdeen,absent,6.18,0.875
426,0.43577235772357725,Aberdeen,easy,0.831,0.9583333333333334
426,0.43577235772357725,Aberdeen,hard,6.0235,0.3333333333333333
427,0.8326532390673426,Aberdeen,absent,12.34,1
427,0.8326532390673426,Aberdeen,easy,1.7035,1
427,0.8326532390673426,Aberdeen,hard,3.965,0.875
428,0.21759945932551916,Aberdeen,absent,17.7335,1
428,0.21759945932551916,Aberdeen,easy,1.346,1
428,0.21759945932551916,Aberdeen,hard,12.636,0.6956521739130435
429,0.33188380688380686,Aberdeen,absent,18.9255,0.9583333333333334
429,0.33188380688380686,Aberdeen,easy,0.778,1
429,0.33188380688380686,Aberdeen,hard,16.257,0.20833333333333334
430,0.631547619047619,Aberdeen,absent,11.4265,0.8541666666666666
430,0.631547619047619,Aberdeen,easy,1.63,0.9130434782608695
430,0.631547619047619,Aberdeen,hard,10.3225,0.4166666666666667
432,0.41415356151711374,Aberdeen,absent,26.5885,1
432,0.41415356151711374,Aberdeen,easy,0.9105000000000001,1
432,0.41415356151711374,Aberdeen,hard,18.0855,0.5
433,0.3854225751559841,Aberdeen,absent,19.56,0.8958333333333334
433,0.3854225751559841,Aberdeen,easy,1.309,1
433,0.3854225751559841,Aberdeen,hard,13.4585,0.4166666666666667
501,0.6103971609785563,Aberdeen,absent,7.257999999999999,0.9791666666666666
501,0.6103971609785563,Aberdeen,easy,0.921,1
501,0.6103971609785563,Aberdeen,hard,6.046,0.125
502,0.31825858250276856,Aberdeen,absent,19.0325,0.9791666666666666
502,0.31825858250276856,Aberdeen,easy,1.738,1
502,0.31825858250276856,Aberdeen,hard,14.222,0.041666666666666664
503,0.23750274483970135,Aberdeen,absent,27.709,1
503,0.23750274483970135,Aberdeen,easy,1.3424999999999998,1
503,0.23750274483970135,Aberdeen,hard,19.999000000000002,0.25
